Point	Row	Column	Ratio_200_110
1	1	1	0.41037759
2	1	2	0.18524565
3	1	3	0.1357249
4	1	4	0.19678134
5	1	5	0.18274829
6	1	6	0.17949277
7	1	7	0.18190426
8	1	8	0.2408355
9	1	9	0.46294266
10	1	10	
11	1	11	
12	2	1	0.21440025
13	2	2	0.11054105
14	2	3	0.40048927
15	2	4	0.4585155
16	2	5	0.40234622
17	2	6	0.38271597
18	2	7	0.33464572
19	2	8	0.31930703
20	2	9	0.3405357
21	2	10	0.22025105
22	2	11	0.23203236
23	3	1	0.12867483
24	3	2	0.12951389
25	3	3	0.32202813
26	3	4	0.31974715
27	3	5	0.29827976
28	3	6	0.25291529
29	3	7	0.22477466
30	3	8	
31	3	9	
32	3	10	0.27093661
33	3	11	0.18384528
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	0.18121301
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
