Point	Row	Column	FWHM_200
1	1	1	0.57108366
2	1	2	0.78451622
3	1	3	0.75353765
4	1	4	0.77770126
5	1	5	0.82450759
6	1	6	0.77873534
7	1	7	0.77444875
8	1	8	0.72090447
9	1	9	0.66369861
10	1	10	
11	1	11	
12	2	1	0.60284328
13	2	2	0.69188017
14	2	3	0.66591841
15	2	4	0.84824193
16	2	5	0.94660312
17	2	6	0.91684639
18	2	7	0.96012545
19	2	8	0.97664022
20	2	9	0.91085291
21	2	10	0.81033111
22	2	11	0.71434754
23	3	1	0.7215538
24	3	2	0.83012944
25	3	3	0.83788931
26	3	4	0.92112428
27	3	5	0.92288715
28	3	6	0.8882997
29	3	7	0.987661
30	3	8	
31	3	9	
32	3	10	0.96000159
33	3	11	0.9544704
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	0.9905566
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
