Point	Row	Column	Norm_Int110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	7.7683053
8	1	8	10.90818
9	1	9	11.99968
10	1	10	11.690422
11	1	11	10.262487
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	11.776139
20	2	9	12.937215
21	2	10	12.356723
22	2	11	11.331106
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	8.8626337
31	3	9	13.53578
32	3	10	12.372304
33	3	11	6.3148456
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	4.9305878
40	4	7	7.9106588
41	4	8	10.565884
42	4	9	12.392632
43	4	10	11.952595
44	4	11	9.1697073
