Point	Row	Column	_s_MaxIntensity
1	1	1	0.063026503
2	1	2	0.061575577
3	1	3	0.06323126
4	1	4	0.053908166
5	1	5	0.048409555
6	1	6	0.047643621
7	1	7	0.046943609
8	1	8	0.036694456
9	1	9	0.0377956
10	1	10	0.037861697
11	1	11	0.041616794
12	2	1	0.076149672
13	2	2	0.074255124
14	2	3	0.068658352
15	2	4	0.063750722
16	2	5	0.05793206
17	2	6	0.049339477
18	2	7	0.045141961
19	2	8	0.03567354
20	2	9	0.030608602
21	2	10	0.036662154
22	2	11	0.03124263
23	3	1	0.079168387
24	3	2	0.075236306
25	3	3	0.07543207
26	3	4	0.067082912
27	3	5	0.059712529
28	3	6	0.055570822
29	3	7	0.047599699
30	3	8	0.03932007
31	3	9	0.034703568
32	3	10	0.029784622
33	3	11	0.034500804
34	4	1	0.069375686
35	4	2	0.071451619
36	4	3	0.066946775
37	4	4	0.060930487
38	4	5	0.055609938
39	4	6	0.051752433
40	4	7	0.050475612
41	4	8	0.045438427
42	4	9	0.041634366
43	4	10	0.035919931
44	4	11	0.036579397
