FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: FWHM of 200 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),PROPERTY: Position of 200 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.88142Co0.0Fe0.37623Y0.1732Zr0.45057O3,01124,1,1,1,4.1398373,0.19891,0.49770075,0.45534986,0.76138985,3740.323,654.30206,339.59561,11.539571,30.501089,37.593113,43.665409000000004,5.4000001,44.141998,0.8899993554136018,2.1499984428530827,1.4899989208609739,137.32690054031875,1.499063,1.5368655,0.888354275,77.51185525,0.881420638372758,0.5937037705644137,1.3989502938631146,1.6772575568018444,1.771688989992518,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.88399Co0.0Fe0.39554Y0.16307Zr0.44139O3,01124,2,1,2,4.132339,0.20652001,0.45145643,0.46638599,0.72893673,4353.9233,510.49368,590.71313,11.798213,30.557785,37.634171,43.727486,9.397999800000001,44.141998,0.8899978666621364,2.1499948464310035,1.489996428456835,137.32667082596765,1.5098323000000002,1.5314364999999999,0.88638605,76.85216961949999,0.8839921189369196,0.589468026788231,1.4039072768808916,1.6809791043720002,1.7868938704773176,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.88106Co0.0Fe0.41503Y0.15872Zr0.42625O3,01124,3,1,3,4.1286125,0.21273001,0.42453039,0.5000326,0.60919404,4197.2627,333.68536,869.90308,10.927947999999999,30.58604,37.665958,43.785339,13.39599,44.141998,0.8900016686293165,2.150004030958461,1.490002793547957,137.32725746950354,1.5200558000000002,1.5274255,0.885456875,76.172716862,0.8810583481350681,0.5855059193414587,1.407599932670013,1.6827502678184716,1.8028404805134564,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.8977Co0.0Fe0.43573Y0.15216Zr0.41211O3,01124,4,1,4,4.1260357,0.2159,0.43710315,0.53500032,0.64889526,4365.2529,434.72017999999997,778.2830799999999,11.548886999999999,30.605608,37.688019,43.81385,17.393998999999997,44.141998,0.8900014075451024,2.1500034002494046,1.490002356451913,137.3272171842093,1.5311274000000001,1.5226804999999999,0.8841208249999999,75.455578626,0.8976985802795057,0.5812719487255615,1.4119859026561414,1.6852926820855205,1.8199743436450166,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.90765Co0.0Fe0.46065Y0.13993Zr0.39942O3,01124,5,1,5,4.1308379,0.21469000000000002,0.48728928,0.46660471,0.80731106,4042.8904,724.3801900000001,408.19861000000003,11.253465,30.569159999999997,37.660812,43.762234,21.391991,44.141998,0.8899985551531021,2.149996509639516,1.4899975810990136,137.32677706012365,1.5449327,1.515885,0.8817325250000001,74.6022849205,0.9076514735027144,0.5760759385525999,1.4183110919624617,1.6898521250523377,1.8407851342149382,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.90905Co0.0Fe0.48688Y0.12866Zr0.38445O3,01124,6,1,6,4.131275700000001,0.21231999999999998,0.49983546,0.47293967,0.82880163,3858.2483,739.96429,300.32785,11.011003,30.565844,37.65023,43.758057,25.389999,44.141998,0.890003801675331,2.1500091838224287,1.4900063646025203,137.32758659850356,1.5592740999999999,1.5091175,0.8794986,73.69950706099999,0.9090461169683173,0.5707808535236564,1.424679777301919,1.6941543336197695,1.8633447098206444,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.91032Co0.0Fe0.50864Y0.1221Zr0.36926O3,01124,7,1,7,4.124668600000001,0.20586,0.49719799,0.44352663,0.77017605,3693.9719,776.85095,385.50522,11.093699,30.616001,37.707671999999995,43.838001,29.38802,44.141998,0.8899974624542909,2.149993869973849,1.4899957517493185,137.32660845669707,1.570889,1.504229,0.8781631999999999,72.945779325,0.9103225954889843,0.5665565564812606,1.4292995747149195,1.696718504885332,1.882584705070557,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.92921Co0.0Fe0.53231Y0.1153Zr0.35238O3,01124,8,1,8,4.1144818999999995,0.19614001,0.45731989,0.59860027,0.66162169,3625.6714,425.25809000000004,648.1879299999999,10.29631,30.693665000000003,37.827686,43.942165,33.386009,44.141998,0.8900012508732594,2.1500030217724806,1.4900020941586027,137.32719300974392,1.5834587,1.4989629999999998,0.8767530749999999,72.123209575,0.9292086940198788,0.5620615497412464,1.4343269458769035,1.69945465450304,1.904063807184553,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.92716Co0.0Fe0.55966Y0.10461Zr0.33573O3,01124,9,1,9,4.1139698,0.18434,0.45896959,0.60325521,0.64951432,3394.9167,514.5144700000001,474.52609,10.336208000000001,30.697582,37.838184000000005,43.926483000000005,37.384009999999996,44.141998,0.8899983772348901,2.1499960798370936,1.4899972832359394,137.32674960734352,1.5983229000000003,1.4922035,0.8746323500000001,71.1812871885,0.9271616905231941,0.5568326507959623,1.4408196200029644,1.703569829352801,1.9292535304072156,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
Ba0.92704Co0.0Fe0.58437Y0.09211Zr0.32352O3,01124,10,1,10,4.1136942,0.17199001,0.48895973,0.50334698,,2997.9302,657.15265,,10.353313,30.699688000000002,37.804210999999995,,41.381989000000004,44.141998,0.8900009560042652,2.1500023094485057,1.4900016005015226,137.32714751145812,1.6120529000000001,1.485372,0.872197025,70.3360489735,0.9270390042098403,0.5520916565481598,1.4474504093577272,1.7083314409396464,1.9524432992134357,26_May_2016,Pulsed Laser Deposition,BZYF631/ BZF19,600.0,18.7,850,N,344.0,10,50.0,SiO2,0,0,56,0,0,36,0,46.0,0,0,180,0,0,0,0
