Point	Row	Column	_s_Sigma
1	1	1	0.18411128
2	1	2	0.17310961
3	1	3	0.16875586
4	1	4	0.16035755
5	1	5	0.14670396
6	1	6	0.13479239
7	1	7	0.12782733
8	1	8	0.11953316
9	1	9	0.10855946
10	1	10	0.095595792
11	1	11	0.090108275
12	2	1	0.19389684
13	2	2	0.18490869
14	2	3	0.17775239
15	2	4	0.16867188
16	2	5	0.15429339
17	2	6	0.14328487
18	2	7	0.13085772
19	2	8	0.11810917
20	2	9	0.10600017
21	2	10	0.10324015
22	2	11	0.089039706
23	3	1	0.19014078
24	3	2	0.18631373
25	3	3	0.17439193
26	3	4	0.1624139
27	3	5	0.15119842
28	3	6	0.14195076
29	3	7	0.12648639
30	3	8	0.11453208
31	3	9	0.10573408
32	3	10	0.095017858
33	3	11	0.08852651
34	4	1	0.17739113
35	4	2	0.17389058
36	4	3	0.16575423
37	4	4	0.15308703
38	4	5	0.145386
39	4	6	0.13456078
40	4	7	0.12642546
41	4	8	0.11716629
42	4	9	0.10839825
43	4	10	0.10153928
44	4	11	0.089685574
