Point	Row	Column	110_s_Area
1	1	1	0.39994502
2	1	2	0.41989332
3	1	3	0.44126999
4	1	4	0.45922375
5	1	5	0.4829483
6	1	6	0.51008046
7	1	7	0.53252214
8	1	8	0.55184782
9	1	9	0.58081508
10	1	10	0.60649747
11	1	11	0.63406992
12	2	1	0.37969026
13	2	2	0.40174162
14	2	3	0.42109224
15	2	4	0.44373715
16	2	5	0.47010794
17	2	6	0.49513337
18	2	7	0.52437544
19	2	8	0.54918694
20	2	9	0.57505369
21	2	10	0.59691465
22	2	11	0.62391722
23	3	1	0.39943343
24	3	2	0.41642591
25	3	3	0.43788221
26	3	4	0.46076444
27	3	5	0.48563242
28	3	6	0.50903356
29	3	7	0.53401858
30	3	8	0.55998063
31	3	9	0.58345157
32	3	10	0.60662556
33	3	11	0.62681836
34	4	1	0.43522874
35	4	2	0.45003098
36	4	3	0.46767333
37	4	4	0.48975915
38	4	5	0.50800025
39	4	6	0.53196317
40	4	7	0.55141914
41	4	8	0.56749105
42	4	9	0.59144711
43	4	10	0.60703504
44	4	11	0.63738048
