Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	ASR	Temp_C
1	0	0	0.41178876	0.17393184	0	0.4142794	0	47160.961	351
2	-4	0	0.40796241	0.18132977	0	0.41070783	0	118469.46	351
3	-8	0	0.40636292	0.19236942	0	0.40126768	0	133033.88	351
4	-12	0	0.40397671	0.19896694	0	0.39705637	0	133611.94	351
5	-16	0	0.40958813	0.21155453	0	0.37885734	0	152125.34	351
6	-20	0	0.39953613	0.24141738	0	0.35904649	0	145832.73	351
7	-24	0	0.40767646	0.24932306	0	0.34300047	0	184191.58	351
8	-28	0	0.40280914	0.27553168	0	0.32165918	0	212242.86	351
9	-32	0	0.4193396	0.28608844	0	0.29457194	0	351575.62	351
10	-36	0	0.42371625	0.29885918	0	0.27742457	0	602557.5	351
11	-40	0	0.43337995	0.31295756	0	0.2536625	0	658823.38	351
12	0	3.75	0.41834474	0.17877054	0	0.40288472	0	79168.133	351
13	-4	3.75	0.41405311	0.18818298	0	0.39776388	0	79469.727	351
14	-8	3.75	0.4110418	0.19958839	0	0.38936982	0	86899.594	351
15	-12	3.75	0.40870354	0.20786649	0	0.38342997	0	89893.531	351
16	-16	3.75	0.409989	0.2219649	0	0.3680461	0	109127.68	351
17	-20	3.75	0.40284967	0.24717407	0	0.34997627	0	139505.56	351
18	-24	3.75	0.40740606	0.25549969	0	0.33709425	0	158169.77	351
19	-28	3.75	0.4025704	0.27892488	0	0.31850472	0	215576.09	351
20	-32	3.75	0.41551501	0.28874508	0	0.29573992	0	287549.97	351
21	-36	3.75	0.41722351	0.30371475	0	0.27906173	0	478684.47	351
22	-40	3.75	0.42355627	0.31870398	0	0.25773975	0	660614.12	351
23	0	7.5	0.42490071	0.18360923	0	0.39149007	0	92089.508	351
24	-4	7.5	0.42014384	0.1950362	0	0.38481995	0	71062.828	351
25	-8	7.5	0.4157207	0.20680737	0	0.37747195	0	86243	351
26	-12	7.5	0.41343036	0.21676604	0	0.36980358	0	98640.039	351
27	-16	7.5	0.41038987	0.23237528	0	0.35723484	0	96154.727	351
28	-20	7.5	0.40616319	0.25293076	0	0.34090605	0	92403.664	351
29	-24	7.5	0.40713567	0.26167631	0	0.33118805	0	124897.16	351
30	-28	7.5	0.40233162	0.28231809	0	0.31535029	0	212371.66	351
31	-32	7.5	0.41169041	0.29140171	0	0.29690787	0	277653.97	351
32	-36	7.5	0.41073078	0.30857033	0	0.2806989	0	474788.91	351
33	-40	7.5	0.41373259	0.32445043	0	0.26181701	0	745782.69	351
34	0	11.5	0.43189374	0.1887705	0	0.37933576	0	93289.594	351
35	-4	11.5	0.42664063	0.2023463	0	0.37101308	0	62379.465	351
36	-8	11.5	0.42071149	0.21450761	0	0.3647809	0	84442.867	351
37	-12	11.5	0.41847235	0.22625889	0	0.35526878	0	94049.547	351
38	-16	11.5	0.41081747	0.24347967	0	0.34570286	0	100118.48	351
39	-20	11.5	0.40969762	0.25907123	0	0.33123115	0	92017.562	351
40	-24	11.5	0.40684721	0.26826471	0	0.32488808	0	115152.88	351
41	-28	11.5	0.40207693	0.28593752	0	0.31198555	0	161358.48	351
