Point	Row	Column	Y_at
1	1	1	0.029356603
2	1	2	0.029365502
3	1	3	0.032647002
4	1	4	0.032277398
5	1	5	0.033091001
6	1	6	0.036034301
7	1	7	0.038671199
8	1	8	0.041376799
9	1	9	0.045682404
10	1	10	0.048470698
11	1	11	0.051453698
12	2	1	0.028971201
13	2	2	0.0280788
14	2	3	0.032521904
15	2	4	0.031954203
16	2	5	0.03435
17	2	6	0.038576499
18	2	7	0.042772505
19	2	8	0.044359598
20	2	9	0.054841202
21	2	10	0.052453905
22	2	11	0.053930394
23	3	1	0.027055999
24	3	2	0.0292532
25	3	3	0.028369
26	3	4	0.031459801
27	3	5	0.033279601
28	3	6	0.035981301
29	3	7	0.037327599
30	3	8	0.043138295
31	3	9	0.046458505
32	3	10	0.050014105
33	3	11	0.052941605
34	4	1	0.024271401
35	4	2	0.027576402
36	4	3	0.025741201
37	4	4	0.027511699
38	4	5	0.0295144
39	4	6	0.0307894
40	4	7	0.034674302
41	4	8	0.036500499
42	4	9	0.037941702
43	4	10	0.044464301
44	4	11	0.043484405
