Point	Row	Column	_s_Area
1	1	1	0.27098912
2	1	2	0.26696903
3	1	3	0.26377693
4	1	4	0.25824186
5	1	5	0.25291499
6	1	6	0.2496046
7	1	7	0.2429155
8	1	8	0.2368204
9	1	9	0.23201463
10	1	10	0.22594839
11	1	11	0.2215915
12	2	1	0.25835299
13	2	2	0.2521553
14	2	3	0.24637912
15	2	4	0.23665702
16	2	5	0.22930589
17	2	6	0.2221604
18	2	7	0.21447232
19	2	8	0.2105712
20	2	9	0.20538171
21	2	10	0.20287763
22	2	11	0.19898458
23	3	1	0.23871949
24	3	2	0.228424
25	3	3	0.2225516
26	3	4	0.2149885
27	3	5	0.20825502
28	3	6	0.20136321
29	3	7	0.1929552
30	3	8	0.19055338
31	3	9	0.18507822
32	3	10	0.18282911
33	3	11	0.18207872
34	4	1	0.21612351
35	4	2	0.20956632
36	4	3	0.20271561
37	4	4	0.19455069
38	4	5	0.1890661
39	4	6	0.18223689
40	4	7	0.1792624
41	4	8	0.17401689
42	4	9	0.1713388
43	4	10	0.1735694
44	4	11	0.17866112
