Point	Row	Column	_s_Sigma
1	1	1	0.058713205
2	1	2	0.058731005
3	1	3	0.065294005
4	1	4	0.064554796
5	1	5	0.066182002
6	1	6	0.072068602
7	1	7	0.077342398
8	1	8	0.082753599
9	1	9	0.091364808
10	1	10	0.096941397
11	1	11	0.1029074
12	2	1	0.057942402
13	2	2	0.0561576
14	2	3	0.065043807
15	2	4	0.063908406
16	2	5	0.068700001
17	2	6	0.077152997
18	2	7	0.085545011
19	2	8	0.088719197
20	2	9	0.1096824
21	2	10	0.10490781
22	2	11	0.10786079
23	3	1	0.054111999
24	3	2	0.058506399
25	3	3	0.056738
26	3	4	0.062919602
27	3	5	0.066559203
28	3	6	0.071962602
29	3	7	0.074655198
30	3	8	0.086276591
31	3	9	0.09291701
32	3	10	0.10002821
33	3	11	0.10588321
34	4	1	0.048542801
35	4	2	0.055152804
36	4	3	0.051482402
37	4	4	0.055023398
38	4	5	0.059028801
39	4	6	0.061578799
40	4	7	0.069348603
41	4	8	0.073000997
42	4	9	0.075883403
43	4	10	0.088928603
44	4	11	0.086968809
