Point	Row	Column	110_s_Area
1	1	1	0.35895163
2	1	2	0.36256224
3	1	3	0.36702925
4	1	4	0.37017995
5	1	5	0.36728299
6	1	6	0.36791459
7	1	7	0.36251199
8	1	8	0.3548716
9	1	9	0.34947023
10	1	10	0.3430374
11	1	11	0.34059021
12	2	1	0.30956921
13	2	2	0.30948699
14	2	3	0.31149784
15	2	4	0.30913782
16	2	5	0.30529961
17	2	6	0.30313781
18	2	7	0.29886204
19	2	8	0.2951366
20	2	9	0.2907162
21	2	10	0.28943282
22	2	11	0.28867176
23	3	1	0.26243079
24	3	2	0.25937861
25	3	3	0.25747359
26	3	4	0.2542142
27	3	5	0.25557363
28	3	6	0.25241819
29	3	7	0.2461794
30	3	8	0.24676718
31	3	9	0.24378823
32	3	10	0.24250862
33	3	11	0.24691802
34	4	1	0.23135941
35	4	2	0.22697002
36	4	3	0.22485501
37	4	4	0.2197362
38	4	5	0.2172208
39	4	6	0.213976
40	4	7	0.21452861
41	4	8	0.2114564
42	4	9	0.2111076
43	4	10	0.2173562
44	4	11	0.22965142
