Point	Row	Column	110_s_Position
1	1	1	0.18302661
2	1	2	0.17137581
3	1	3	0.16052462
4	1	4	0.14630379
5	1	5	0.138547
6	1	6	0.13129459
7	1	7	0.123319
8	1	8	0.1187692
9	1	9	0.11455901
10	1	10	0.1088594
11	1	11	0.1025928
12	2	1	0.20713679
13	2	2	0.19482359
14	2	3	0.18126042
15	2	4	0.16417621
16	2	5	0.15331221
17	2	6	0.141183
18	2	7	0.13008261
19	2	8	0.1260058
20	2	9	0.1200472
21	2	10	0.11632241
22	2	11	0.10929739
23	3	1	0.2150082
24	3	2	0.1974694
25	3	3	0.1876296
26	3	4	0.1757628
27	3	5	0.16093642
28	3	6	0.15030821
29	3	7	0.139731
30	3	8	0.13433959
31	3	9	0.12636821
32	3	10	0.12314961
33	3	11	0.11723941
34	4	1	0.20088761
35	4	2	0.19216262
36	4	3	0.18057621
37	4	4	0.1693652
38	4	5	0.1609114
39	4	6	0.15049779
40	4	7	0.14399619
41	4	8	0.1365774
42	4	9	0.13157
43	4	10	0.1297826
44	4	11	0.12767081
