Point	Row	Column	Co_at
1	1	1	0.091513306
2	1	2	0.085687906
3	1	3	0.080262311
4	1	4	0.073151894
5	1	5	0.069273502
6	1	6	0.065647297
7	1	7	0.0616595
8	1	8	0.059384599
9	1	9	0.057279505
10	1	10	0.054429699
11	1	11	0.051296402
12	2	1	0.1035684
13	2	2	0.097411796
14	2	3	0.090630211
15	2	4	0.082088105
16	2	5	0.076656103
17	2	6	0.070591502
18	2	7	0.065041304
19	2	8	0.063002899
20	2	9	0.060023598
21	2	10	0.058161207
22	2	11	0.054648694
23	3	1	0.1075041
24	3	2	0.098734699
25	3	3	0.093814798
26	3	4	0.087881401
27	3	5	0.080468208
28	3	6	0.075154103
29	3	7	0.069865502
30	3	8	0.067169793
31	3	9	0.063184105
32	3	10	0.061574806
33	3	11	0.058619704
34	4	1	0.1004438
35	4	2	0.096081309
36	4	3	0.090288103
37	4	4	0.084682599
38	4	5	0.080455698
39	4	6	0.075248897
40	4	7	0.071998097
41	4	8	0.068288699
42	4	9	0.065784998
43	4	10	0.064891301
44	4	11	0.063835405
