Point	Row	Column	_s_FWHM
1	1	1	0.43730363
2	1	2	0.45166683
3	1	3	0.45954624
4	1	4	0.46618515
5	1	5	0.47790161
6	1	6	0.48484159
7	1	7	0.49332321
8	1	8	0.50629002
9	1	9	0.51246244
10	1	10	0.52308261
11	1	11	0.52895141
12	2	1	0.4700104
13	2	2	0.48361561
14	2	3	0.49679244
15	2	4	0.51518643
16	2	5	0.52833003
17	2	6	0.53898221
18	2	7	0.55566788
19	2	8	0.56186038
20	2	9	0.5643366
21	2	10	0.57136887
22	2	11	0.58336651
23	3	1	0.51226163
24	3	2	0.53643841
25	3	3	0.5541048
26	3	4	0.57112038
27	3	5	0.58764327
28	3	6	0.59881121
29	3	7	0.60926139
30	3	8	0.61280191
31	3	9	0.61457384
32	3	10	0.61643964
33	3	11	0.61480248
34	4	1	0.56040001
35	4	2	0.57875246
36	4	3	0.59994942
37	4	4	0.61746418
38	4	5	0.62783861
39	4	6	0.64351302
40	4	7	0.64703941
41	4	8	0.648516
42	4	9	0.65233481
43	4	10	0.64475739
44	4	11	0.63652849
