Point	Row	Column	FWHM_110
1	1	1	0.44029531
2	1	2	0.45181292
3	1	3	0.46404752
4	1	4	0.46669686
5	1	5	0.44647634
6	1	6	0.51419276
7	1	7	0.48529431
8	1	8	0.47294199
9	1	9	0.46959072
10	1	10	0.46765709
11	1	11	0.47083125
12	2	1	0.45080048
13	2	2	0.45233342
14	2	3	0.44911569
15	2	4	0.4676511
16	2	5	0.47207007
17	2	6	0.4779866
18	2	7	0.4745653
19	2	8	0.47383428
20	2	9	0.4837783
21	2	10	0.46013317
22	2	11	0.46149376
23	3	1	0.43461075
24	3	2	0.43908006
25	3	3	0.47225764
26	3	4	0.4713482
27	3	5	0.4822574
28	3	6	0.50304151
29	3	7	0.49569976
30	3	8	0.48256391
31	3	9	0.47541302
32	3	10	0.45890734
33	3	11	0.46048424
34	4	1	0.44998124
35	4	2	0.45773679
36	4	3	0.45834658
37	4	4	0.46744996
38	4	5	0.46337324
39	4	6	0.45966193
40	4	7	0.48446524
41	4	8	0.47514281
42	4	9	0.46528634
43	4	10	0.47243005
44	4	11	0.45738408
