Point	Row	Column	PeakArea_110
1	1	1	13.713831
2	1	2	13.056001
3	1	3	13.030198
4	1	4	13.349842
5	1	5	13.643188
6	1	6	13.649268
7	1	7	13.415522
8	1	8	13.437955
9	1	9	13.581537
10	1	10	13.422574
11	1	11	13.790374
12	2	1	13.627352
13	2	2	12.737359
14	2	3	12.652973
15	2	4	12.152063
16	2	5	11.796191
17	2	6	12.309635
18	2	7	12.489057
19	2	8	12.212844
20	2	9	12.833491
21	2	10	13.568256
22	2	11	13.816633
23	3	1	13.865979
24	3	2	13.533346
25	3	3	12.659562
26	3	4	12.267694
27	3	5	11.630559
28	3	6	11.382168
29	3	7	11.394158
30	3	8	11.88509
31	3	9	12.623806
32	3	10	13.669183
33	3	11	13.61881
34	4	1	14.41344
35	4	2	14.139762
36	4	3	13.635683
37	4	4	13.361938
38	4	5	12.818993
39	4	6	12.994729
40	4	7	13.294436
41	4	8	13.556635
42	4	9	13.02258
43	4	10	13.48215
44	4	11	13.904498
