Point	Row	Column	Ratio_200_110
1	1	1	0.0040389835
2	1	2	0.012715731
3	1	3	0.036286231
4	1	4	0.027402008
5	1	5	
6	1	6	0.039200343
7	1	7	
8	1	8	
9	1	9	
10	1	10	0.017032702
11	1	11	0.02840453
12	2	1	
13	2	2	
14	2	3	0.021452397
15	2	4	0.027619187
16	2	5	0.028753655
17	2	6	0.023229754
18	2	7	0.024521114
19	2	8	0.022176374
20	2	9	0.029468119
21	2	10	0.020008359
22	2	11	
23	3	1	
24	3	2	0.043022733
25	3	3	0.025942059
26	3	4	0.037840918
27	3	5	0.065612011
28	3	6	0.069318965
29	3	7	0.077165544
30	3	8	0.062485717
31	3	9	0.034900606
32	3	10	0.013541839
33	3	11	0.031604696
34	4	1	
35	4	2	0.011792087
36	4	3	
37	4	4	
38	4	5	0.031000013
39	4	6	0.030135846
40	4	7	0.021032795
41	4	8	0.034416955
42	4	9	0.043275423
43	4	10	0.034847569
44	4	11	0.033008549
