Point	Row	Column	Co_at
1	1	1	0.00086911628
2	1	2	0.0020816079
3	1	3	0.00098857691
4	1	4	0.0038675047
5	1	5	0.0026969041
6	1	6	0.0024446126
7	1	7	0.0040553967
8	1	8	0.0036981006
9	1	9	0.0051755691
10	1	10	0.0056311451
11	1	11	0.0054206401
12	2	1	0.0022336482
13	2	2	0.0024674765
14	2	3	0.0020502328
15	2	4	0.0018249936
16	2	5	0.003147969
17	2	6	0.0030598673
18	2	7	0.0030808421
19	2	8	0.0043028127
20	2	9	0.0038933014
21	2	10	0.0048137261
22	2	11	0.0052014124
23	3	1	0.00177799
24	3	2	0.0019559576
25	3	3	0.0024843116
26	3	4	0.002425852
27	3	5	0.0025896062
28	3	6	0.0035530434
29	3	7	0.0046384865
30	3	8	0.0045969621
31	3	9	0.0050797798
32	3	10	0.0043534208
33	3	11	0.0059708385
34	4	1	0.0035160868
35	4	2	0.0028503421
36	4	3	0.0031380134
37	4	4	0.0043400978
38	4	5	0.0037410245
39	4	6	0.0053891507
40	4	7	0.0051918016
41	4	8	0.0061467271
42	4	9	0.0059140585
43	4	10	0.0067391372
44	4	11	0.0064028418
