Point	Row	Column	Norm_Int110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	3.6686752
7	1	7	12.245999
8	1	8	16.8379
9	1	9	15.815409
10	1	10	15.289433
11	1	11	15.387418
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	3.7346487
19	2	8	16.47868
20	2	9	16.305149
21	2	10	15.079221
22	2	11	15.514138
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	6.6598845
30	3	8	18.983372
31	3	9	16.314152
32	3	10	15.359496
33	3	11	16.15169
34	4	1	4.7375174
35	4	2	2.3696818
36	4	3	
37	4	4	2.8228774
38	4	5	5.4441686
39	4	6	10.764893
40	4	7	17.843904
41	4	8	18.105818
42	4	9	16.930231
43	4	10	16.475325
44	4	11	16.815971
