Point	Row	Column	Pos_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	43.721741
7	1	7	43.801697
8	1	8	43.885857
9	1	9	43.898178
10	1	10	
11	1	11	43.877647
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	43.865658
19	2	8	43.798172
20	2	9	43.839691
21	2	10	43.87859
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	43.763767
30	3	8	43.740517
31	3	9	43.783409
32	3	10	43.847588
33	3	11	43.70063
34	4	1	43.772655
35	4	2	
36	4	3	
37	4	4	43.80661
38	4	5	43.755657
39	4	6	43.684097
40	4	7	43.715363
41	4	8	43.756794
42	4	9	
43	4	10	
44	4	11	
