Point	Row	Column	110_s_Position
1	1	1	0.0017382326
2	1	2	0.0041632159
3	1	3	0.0019771538
4	1	4	0.0077350093
5	1	5	0.0053938082
6	1	6	0.0048892251
7	1	7	0.0081107933
8	1	8	0.0073962011
9	1	9	0.010351138
10	1	10	0.01126229
11	1	11	0.01084128
12	2	1	0.0044672964
13	2	2	0.0049349531
14	2	3	0.0041004657
15	2	4	0.0036499873
16	2	5	0.006295938
17	2	6	0.0061197346
18	2	7	0.0061616842
19	2	8	0.0086056255
20	2	9	0.0077866027
21	2	10	0.0096274521
22	2	11	0.010402825
23	3	1	0.00355598
24	3	2	0.0039119152
25	3	3	0.0049686232
26	3	4	0.004851704
27	3	5	0.0051792124
28	3	6	0.0071060867
29	3	7	0.0092769731
30	3	8	0.0091939243
31	3	9	0.01015956
32	3	10	0.0087068416
33	3	11	0.011941677
34	4	1	0.0070321737
35	4	2	0.0057006842
36	4	3	0.0062760268
37	4	4	0.0086801955
38	4	5	0.0074820491
39	4	6	0.010778301
40	4	7	0.010383603
41	4	8	0.012293454
42	4	9	0.011828117
43	4	10	0.013478274
44	4	11	0.012805684
