Point	Row	Column	FWHM_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	0.58625698
7	1	7	0.45682332
8	1	8	0.44763747
9	1	9	0.49810153
10	1	10	0.51956886
11	1	11	0.49734616
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	0.55968976
19	2	8	0.42234355
20	2	9	0.48496097
21	2	10	0.52986628
22	2	11	0.48987746
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	0.50798023
30	3	8	0.40971941
31	3	9	0.48958018
32	3	10	0.53294581
33	3	11	0.48950264
34	4	1	0.57916635
35	4	2	0.69971508
36	4	3	
37	4	4	0.54827416
38	4	5	0.528925
39	4	6	0.47882512
40	4	7	0.42176616
41	4	8	0.46845633
42	4	9	0.51357156
43	4	10	0.53838837
44	4	11	0.51533109
