Point	Row	Column	MaxInt_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	685.96887
7	1	7	2220.6895
8	1	8	2907.0635
9	1	9	2588.5081
10	1	10	2312.6794
11	1	11	2164.8557
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	865.09399
19	2	8	3633.3843
20	2	9	3360.8171
21	2	10	2886.3137
22	2	11	2721.9556
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	1520.0521
30	3	8	4186.0229
31	3	9	3403.6216
32	3	10	2971.7554
33	3	11	2881.1382
34	4	1	697.40991
35	4	2	373.62775
36	4	3	
37	4	4	485.93008
38	4	5	960.78687
39	4	6	1912.3832
40	4	7	3126.7876
41	4	8	3117.4595
42	4	9	2811.4343
43	4	10	2590.5801
44	4	11	2482.2056
