Point	Row	Column	FWHM_111
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	0.5508039
9	1	9	0.50258541
10	1	10	0.49057704
11	1	11	0.51736003
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	0.53024036
20	2	9	0.40389466
21	2	10	0.42374435
22	2	11	0.4303695
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	0.52159411
31	3	9	0.44451833
32	3	10	0.43992993
33	3	11	0.41472667
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	0.54306585
41	4	8	0.48053876
42	4	9	0.43724039
43	4	10	0.41768432
44	4	11	0.43841514
