Point	Row	Column	d_um
1	1	1	0.19891
2	1	2	0.20652001
3	1	3	0.21273001
4	1	4	0.2159
5	1	5	0.21469
6	1	6	0.21232
7	1	7	0.20586
8	1	8	0.19614001
9	1	9	0.18434
10	1	10	0.17199001
11	1	11	0.15885
12	2	1	0.24590001
13	2	2	0.26168001
14	2	3	0.27248999
15	2	4	0.28099999
16	2	5	0.28319001
17	2	6	0.27996999
18	2	7	0.27366
19	2	8	0.26236999
20	2	9	0.24761
21	2	10	0.22945
22	2	11	0.21029
23	3	1	0.23317
24	3	2	0.24873
25	3	3	0.26209
26	3	4	0.27241001
27	3	5	0.27789
28	3	6	0.28029001
29	3	7	0.27563
30	3	8	0.26675001
31	3	9	0.25297001
32	3	10	0.23766001
33	3	11	0.22036
34	4	1	0.17647
35	4	2	0.18731
36	4	3	0.19745
37	4	4	0.20457
38	4	5	0.20969
39	4	6	0.21273001
40	4	7	0.21128
41	4	8	0.20861
42	4	9	0.20141999
43	4	10	0.19209
44	4	11	0.18031999
