Point	Row	Column	Fe_at
1	1	1	0.19997251
2	1	2	0.20994666
3	1	3	0.220635
4	1	4	0.22961187
5	1	5	0.24147415
6	1	6	0.25504023
7	1	7	0.26626107
8	1	8	0.27592391
9	1	9	0.29040754
10	1	10	0.30324873
11	1	11	0.31703496
12	2	1	0.18984513
13	2	2	0.20087081
14	2	3	0.21054612
15	2	4	0.22186857
16	2	5	0.23505397
17	2	6	0.24756669
18	2	7	0.26218772
19	2	8	0.27459347
20	2	9	0.28752685
21	2	10	0.29845732
22	2	11	0.31195861
23	3	1	0.19971672
24	3	2	0.20821296
25	3	3	0.21894111
26	3	4	0.23038222
27	3	5	0.24281621
28	3	6	0.25451678
29	3	7	0.26700929
30	3	8	0.27999032
31	3	9	0.29172578
32	3	10	0.30331278
33	3	11	0.31340918
34	4	1	0.21761437
35	4	2	0.22501549
36	4	3	0.23383667
37	4	4	0.24487957
38	4	5	0.25400013
39	4	6	0.26598158
40	4	7	0.27570957
41	4	8	0.28374553
42	4	9	0.29572356
43	4	10	0.30351752
44	4	11	0.31869024
