Point	Row	Column	Y_at
1	1	1	0.092055641
2	1	2	0.086554803
3	1	3	0.08437793
4	1	4	0.080178775
5	1	5	0.073351979
6	1	6	0.067396194
7	1	7	0.063913666
8	1	8	0.059766579
9	1	9	0.05427973
10	1	10	0.047797896
11	1	11	0.045054138
12	2	1	0.096948422
13	2	2	0.092454344
14	2	3	0.088876195
15	2	4	0.084335938
16	2	5	0.077146694
17	2	6	0.071642436
18	2	7	0.06542886
19	2	8	0.059054587
20	2	9	0.053000085
21	2	10	0.051620077
22	2	11	0.044519853
23	3	1	0.095070392
24	3	2	0.093156867
25	3	3	0.087195963
26	3	4	0.081206948
27	3	5	0.075599208
28	3	6	0.070975378
29	3	7	0.063243195
30	3	8	0.057266042
31	3	9	0.05286704
32	3	10	0.047508929
33	3	11	0.044263255
34	4	1	0.088695563
35	4	2	0.086945288
36	4	3	0.082877114
37	4	4	0.076543517
38	4	5	0.072692998
39	4	6	0.067280389
40	4	7	0.06321273
41	4	8	0.058583144
42	4	9	0.054199126
43	4	10	0.050769642
44	4	11	0.044842787
