Point	Row	Column	Norm_d
1	1	1	0.32218111
2	1	2	0.38338426
3	1	3	0.43332797
4	1	4	0.45882258
5	1	5	0.4490912
6	1	6	0.43003055
7	1	7	0.37807626
8	1	8	0.29990348
9	1	9	0.20500241
10	1	10	0.10567798
11	1	11	0
12	2	1	0.70009649
13	2	2	0.82700658
14	2	3	0.91394562
15	2	4	0.98238701
16	2	5	1
17	2	6	0.97410327
18	2	7	0.92335534
19	2	8	0.83255589
20	2	9	0.71384913
21	2	10	0.56779796
22	2	11	0.41370437
23	3	1	0.59771591
24	3	2	0.7228567
25	3	3	0.83030403
26	3	4	0.91330224
27	3	5	0.95737493
28	3	6	0.97667688
29	3	7	0.93919897
30	3	8	0.86778188
31	3	9	0.75695676
32	3	10	0.63382661
33	3	11	0.49469197
34	4	1	0.14170823
35	4	2	0.22888853
36	4	3	0.31043911
37	4	4	0.36770147
38	4	5	0.40887889
39	4	6	0.43332797
40	4	7	0.42166638
41	4	8	0.40019301
42	4	9	0.34236771
43	4	10	0.26733151
44	4	11	0.17267171
