Point	ASR
1	3.3030144e+08
2	5.0337382e+08
3	1.9523599e+09
4	8.6820666e+08
5	5.5713274e+08
6	4.4042579e+08
7	26771374
8	4.9213322e+08
9	5.3249008e+08
10	4.8391168e+08
11	5.4848077e+08
12	1.2755197e+09
13	8.1100147e+08
14	4.8308544e+08
15	4.3406941e+08
16	4.9332387e+08
17	3.8403926e+08
18	4.7310774e+08
19	3.2809322e+08
20	7.6729254e+08
21	6.8433568e+08
22	3.17168e+08
23	5.385031e+08
24	3.4659907e+08
25	76946336
26	4.8624902e+08
27	70504760
28	3.8154298e+08
29	9.7496102e+08
30	4.9127869e+08
31	3.7373485e+08
32	4.0964762e+08
33	5.3975341e+08
34	4.1764864e+08
35	3.3892131e+08
36	3.2657645e+08
37	2.203995e+08
38	3.3531354e+08
39	4.9796179e+08
40	1.0612998e+08
41	4.0037994e+08
42	4.4739069e+08
43	4.0247853e+08
44	5.9066291e+08
45	7.308281e+08
46	9.0069382e+08
47	7.127545e+08
48	4.1485011e+08
49	3.5712339e+08
50	5.1433482e+08
51	3.8245402e+08
52	4.8344986e+08
53	3.5114621e+08
54	6.7681248e+08
55	3.1703984e+08
56	4.406457e+08
57	4.0636781e+08
58	7.693911e+08
59	7.1983251e+08
60	4.4427738e+08
61	1.8166936e+08
62	1.841487e+08
63	4.2269341e+08
64	46096112
65	4.7425757e+08
66	4.8581549e+08
67	6.0056173e+08
68	7.0125942e+09
69	6.4773306e+08
70	3.7125174e+08
71	7.2457632e+08
72	4.8522486e+08
73	2.9375437e+09
74	7.2583296e+08
75	2.9413261e+08
76	5.8737677e+08
77	3.3299283e+08
78	1.1474278e+08
79	3.4301482e+08
80	5.268305e+08
81	3.7828138e+08
82	3.2797571e+08
83	5.2185267e+08
84	4.5954237e+08
85	7.6188269e+08
86	3.396216e+08
87	3.3763578e+08
88	3.251577e+08
89	3.8980723e+08
90	1966603
91	3.2992349e+08
92	4.3221712e+08
93	1.517721e+08
94	8.7292223e+10
95	3.5822419e+08
96	1.4812911e+09
97	3.5698294e+08
98	2.4005842e+08
99	4.0545046e+08
100	4.8050618e+08
101	1.3620646e+08
102	93767728
103	3.7201987e+08
104	1.9997162e+09
105	2.1343178e+08
106	4.4743782e+08
107	1.1785989e+09
108	4.791176e+08
109	3.9831088e+08
110	3.4911862e+08
111	2.8327763e+08
112	6.390057e+08
113	5.2436592e+08
114	3.2547565e+08
115	4.8795491e+08
116	9.1581286e+08
117	4.5488211e+08
118	4.1159197e+08
119	5.4120173e+08
120	5.2307472e+08
121	8.783959e+08
122	3.2248957e+08
123	2.0596507e+10
124	5.4350138e+08
125	2.1197093e+08
126	4.3475648e+08
127	2.855121e+08
128	3.6333808e+08
129	5.2946474e+08
130	4.3307069e+08
131	7.8498912e+08
132	3.0257533e+08
