Point	Fe_at
1	0.014180698
2	0.015197732
3	0.0156666
4	0.017190199
5	0.0176352
6	0.019933164
7	0.020949567
8	0.021974169
9	0.024354633
10	0.029282771
11	0.038054232
12	0.013522498
13	0.014469098
14	0.0149858
15	0.0164255
16	0.0170621
17	0.019138299
18	0.0202315
19	0.021496102
20	0.0238686
21	0.028355803
22	0.0368816
23	0.012864299
24	0.013740466
25	0.014305
26	0.0156608
27	0.016489001
28	0.018343432
29	0.019513432
30	0.021018034
31	0.023382567
32	0.027428836
33	0.035708968
34	0.0122061
35	0.013011833
36	0.0136242
37	0.0148961
38	0.0159159
39	0.017548567
40	0.018795365
41	0.020539967
42	0.022896534
43	0.026501868
44	0.034536336
45	0.0115479
46	0.0122832
47	0.0129434
48	0.0141314
49	0.015342802
50	0.0167537
51	0.018077299
52	0.020061901
53	0.022410501
54	0.0255749
55	0.033363704
56	0.011208167
57	0.0118512
58	0.012688333
59	0.014157067
60	0.015062368
61	0.0163111
62	0.017679332
63	0.0193318
64	0.021881601
65	0.025220035
66	0.033319335
67	0.010868434
68	0.011419199
69	0.012433266
70	0.014182734
71	0.014781933
72	0.0158685
73	0.017281365
74	0.018601699
75	0.021352701
76	0.024865169
77	0.033274967
78	0.010528701
79	0.010987199
80	0.0121782
81	0.014208402
82	0.014501499
83	0.0154259
84	0.016883397
85	0.017871598
86	0.020823803
87	0.024510302
88	0.033230595
89	0.0099936668
90	0.010266566
91	0.010898533
92	0.013295634
93	0.013705566
94	0.014963
95	0.016117699
96	0.017133132
97	0.019977968
98	0.024687868
99	0.033927299
100	0.0094586331
101	0.0095459325
102	0.0096188663
103	0.012382867
104	0.012909633
105	0.014500101
106	0.015352
107	0.016394665
108	0.019132134
109	0.024865434
110	0.034623999
111	0.0089235995
112	0.0088252993
113	0.0083392002
114	0.011470099
115	0.0121137
116	0.014037201
117	0.0145863
118	0.015656199
119	0.018286299
120	0.025043
121	0.035320699
122	0.0083885649
123	0.0081046661
124	0.0070595331
125	0.010557331
126	0.011317767
127	0.013574302
128	0.013820601
129	0.014917732
130	0.017440464
131	0.025220565
132	0.036017399
