Point	Rp
1	1.3940002e+11
2	2.8920001e+11
3	7.301951e+11
4	5.0709103e+10
5	9.1259003e+10
6	3.036816e+11
7	6.3700001e+10
8	5.2645228e+09
9	1.2671004e+11
10	8.5712e+09
11	3.7092201e+09
12	1.3023e+10
13	7.0189e+09
14	7.3202002e+09
15	5.0067e+09
16	4.78099e+09
17	7.824e+09
18	1.99047e+10
19	1.3168705e+10
20	1.7284901e+10
21	1.63487e+10
22	2.851267e+10
23	4.4099702e+09
24	1.0544e+10
25	1.041662e+10
26	1.68606e+10
27	1.621355e+10
28	1.9211901e+10
29	2.77055e+10
30	6.1419999e+10
31	2.44004e+10
32	2.0258099e+10
33	1.213595e+10
34	7.5901225e+09
35	1.126e+10
36	1.45524e+10
37	1.058815e+10
38	3.3952479e+10
39	2.06905e+10
40	1.505982e+10
41	4.012023e+10
42	4.8909881e+10
43	3.4036401e+09
44	6.4519e+10
45	1.8386999e+10
46	2.1889589e+10
47	1.457798e+10
48	7.6249997e+10
49	4.6538092e+09
50	1.33037e+10
51	1.8664301e+10
52	2.453094e+10
53	5.8320699e+10
54	3.9399358e+10
55	5.0507002e+10
56	4.7316799e+10
57	2.0946389e+10
58	9.0767958e+10
59	2.586051e+10
60	1.98249e+10
61	3.303031e+10
62	1.86775e+10
63	4.3810017e+10
64	3.6882999e+11
65	3.6959158e+10
66	5.8958111e+10
67	4.9720001e+10
68	5.2214698e+10
69	9.2959998e+10
70	2.9631629e+10
71	7.7768098e+10
72	1.4806192e+10
73	3.5362988e+10
74	2.300696e+11
75	1.681234e+10
76	5.4102602e+10
77	9.5049998e+10
78	5.7069998e+10
79	9.2820029e+10
80	1.5010136e+11
81	1.536709e+10
82	1.068309e+11
83	6.870633e+11
84	6.1931999e+10
85	2.9969295e+10
86	2.1072609e+10
87	4.6850011e+10
88	6.6308149e+10
89	2.5341811e+10
90	2.1678229e+13
91	4.9149428e+10
92	3.3787464e+10
93	1.8742429e+11
94	7.3967903e+10
95	6.771799e+09
96	4.3574878e+10
97	1.031e+11
98	5.2959511e+10
99	3.632232e+10
100	2.217346e+10
101	3.9701639e+10
102	4.9505739e+10
103	4.622746e+10
104	3.7042736e+11
105	4.2963952e+10
106	4.9316401e+12
107	2.1190001e+11
108	8.6960005e+10
109	5.8121257e+10
110	4.0372261e+10
111	1.3780001e+11
112	2.6626869e+10
113	7.1242875e+10
114	6.3439999e+10
115	5.4226772e+10
116	3.163145e+10
117	7.5446796e+10
118	3.955089e+10
119	2.188697e+10
120	3.2709501e+10
121	6.6655401e+09
122	2.8827234e+12
123	4.3910021e+10
124	1.038e+11
125	1.568631e+10
126	1.7500142e+13
127	1.4350957e+08
128	2.5014999e+10
129	3.2303499e+10
130	1.782962e+10
131	6.4185e+10
132	2.74578e+10
