Point	Zr_at
1	0.44762027
2	0.45033267
3	0.4478431
4	0.44444191
5	0.44231308
6	0.4341597
7	0.43185192
8	0.42575824
9	0.42199054
10	0.41311955
11	0.40609536
12	0.45421875
13	0.45557415
14	0.45330849
15	0.44910839
16	0.44691131
17	0.43984467
18	0.4359014
19	0.42959934
20	0.42528361
21	0.41713014
22	0.40941319
23	0.46081725
24	0.46081564
25	0.45877391
26	0.4537749
27	0.45150951
28	0.44552961
29	0.43995088
30	0.43344042
31	0.42857668
32	0.42114073
33	0.41273105
34	0.46741572
35	0.46605712
36	0.4642393
37	0.45844141
38	0.45610774
39	0.45121455
40	0.44400036
41	0.43728152
42	0.43186975
43	0.42515132
44	0.41604888
45	0.47401419
46	0.47129861
47	0.46970469
48	0.46310791
49	0.46070594
50	0.45689949
51	0.44804984
52	0.44112259
53	0.43516281
54	0.42916191
55	0.41936675
56	0.47587729
57	0.47370064
58	0.47225019
59	0.46560472
60	0.46226358
61	0.45849875
62	0.45042008
63	0.44351822
64	0.43774879
65	0.43026787
66	0.41984287
67	0.47774038
68	0.47610271
69	0.4747957
70	0.46810153
71	0.46382123
72	0.46009797
73	0.45279032
74	0.44591385
75	0.44033477
76	0.43137386
77	0.42031902
78	0.47960344
79	0.47850475
80	0.4773412
81	0.47059834
82	0.46537885
83	0.46169719
84	0.45516056
85	0.44830945
86	0.44292074
87	0.43247983
88	0.42079517
89	0.47863123
90	0.47769782
91	0.47641248
92	0.47041288
93	0.46538767
94	0.46027225
95	0.45524901
96	0.44853842
97	0.44313064
98	0.43307298
99	0.4219937
100	0.47765899
101	0.47689089
102	0.47548375
103	0.47022742
104	0.46539649
105	0.45884728
106	0.45533746
107	0.44876739
108	0.44334054
109	0.43366614
110	0.42319226
111	0.47668675
112	0.47608396
113	0.47455499
114	0.47004196
115	0.46540529
116	0.45742235
117	0.45542589
118	0.44899637
119	0.44355047
120	0.4342593
121	0.42439079
122	0.47571453
123	0.47527701
124	0.47362626
125	0.4698565
126	0.46541411
127	0.45599741
128	0.45551434
129	0.44922534
130	0.44376037
131	0.43485245
132	0.42558935
