Point	Ba_at
1	0.46374053
2	0.4595941
3	0.46159798
4	0.45344007
5	0.45194003
6	0.45367602
7	0.45080292
8	0.45011613
9	0.45025381
10	0.44629487
11	0.43099174
12	0.46026275
13	0.45668906
14	0.45730519
15	0.45136911
16	0.4499082
17	0.45116296
18	0.44890571
19	0.44818455
20	0.4478859
21	0.44535035
22	0.43317121
23	0.45678496
24	0.45378399
25	0.45301244
26	0.44929814
27	0.44787639
28	0.44864991
29	0.44700849
30	0.44625297
31	0.44551799
32	0.44440582
33	0.43535066
34	0.45330718
35	0.45087895
36	0.44871968
37	0.44722718
38	0.44584456
39	0.44613686
40	0.44511127
41	0.44432139
42	0.4431501
43	0.44346133
44	0.4375301
45	0.4498294
46	0.44797391
47	0.44442689
48	0.44515619
49	0.44381276
50	0.44362381
51	0.44321406
52	0.44238979
53	0.44078219
54	0.4425168
55	0.43970954
56	0.45016024
57	0.44826329
58	0.44471711
59	0.44520199
60	0.44438007
61	0.44414416
62	0.44459057
63	0.44342706
64	0.44185367
65	0.44317159
66	0.44171101
67	0.4504911
68	0.44855267
69	0.44500729
70	0.44524777
71	0.44494742
72	0.44466454
73	0.44596705
74	0.4444643
75	0.44292516
76	0.44382638
77	0.44371247
78	0.45082194
79	0.44884205
80	0.44529751
81	0.44529355
82	0.44551477
83	0.44518489
84	0.44734356
85	0.44550157
86	0.44399664
87	0.44448113
88	0.44571397
89	0.45244408
90	0.45086306
91	0.44712958
92	0.44833589
93	0.44818571
94	0.44851694
95	0.44991314
96	0.44886413
97	0.44813401
98	0.44867921
99	0.44901252
100	0.45406622
101	0.45288405
102	0.44896165
103	0.45137823
104	0.45085666
105	0.45184898
106	0.45248273
107	0.4522267
108	0.45227137
109	0.45287725
110	0.45231104
111	0.45568836
112	0.45490506
113	0.45079371
114	0.45442057
115	0.4535276
116	0.45518103
117	0.45505229
118	0.45558926
119	0.45640877
120	0.4570753
121	0.45560959
122	0.4573105
123	0.45692605
124	0.45262578
125	0.45746288
126	0.45619854
127	0.45851308
128	0.45762187
129	0.45895183
130	0.46054614
131	0.46127334
132	0.45890814
