Point	Ba_at	Zr_at	Y_at	Co_at	Fe_at
1	0.49247715	0.060924709	0	0.20160832	0.24498983
2	0.48833254	0.064962298	0	0.21178584	0.23491932
3	0.48810333	0.065186866	0	0.22033396	0.22637583
4	0.48757052	0.06217372	0	0.23254946	0.21770628
5	0.48914996	0.064688668	0	0.23978482	0.20637654
6	0.48958725	0.062132455	0	0.25016332	0.19811699
7	0.48999968	0.062737085	0	0.26007393	0.18718931
8	0.49080074	0.065371431	0	0.27264825	0.17117959
9	0.48838681	0.062554367	0	0.27773657	0.17132224
10	0.48924714	0.060366254	0	0.29180753	0.15857907
11	0.48203921	0.059384879	8.8347579e-06	0.28828436	0.17028271
12	0.49257892	0.061692882	0	0.20122591	0.24450229
13	0.488805	0.065356955	0	0.21154095	0.2342971
14	0.48867607	0.065216579	0	0.22012717	0.22598018
15	0.48791105	0.063074417	0	0.23209496	0.21691959
16	0.48929602	0.064788178	0	0.23998573	0.20593008
17	0.48967013	0.062706158	0	0.25030911	0.19731461
18	0.48984459	0.063202024	0	0.26036555	0.18658781
19	0.49167794	0.064965323	-0.0006033064	0.27286738	0.17109264
20	0.48859805	0.062925056	0	0.27814725	0.17032966
21	0.49068984	0.059669804	-0.00099753868	0.29226542	0.15837248
22	0.48237556	0.059614029	8.8347579e-06	0.28885937	0.1691422
23	0.49283338	0.063613318	0	0.20026986	0.24328342
24	0.48998615	0.066343591	0	0.21092875	0.23274153
25	0.49010792	0.065290876	0	0.21961015	0.22499105
26	0.48876229	0.065326162	0	0.23095872	0.21495284
27	0.48966113	0.065036938	0	0.24048802	0.20481391
28	0.48987737	0.064140409	0	0.25067356	0.19530864
29	0.48945689	0.064364366	0	0.26109466	0.18508409
30	0.49389431	0.063939244	-0.0021276174	0.27342108	0.170873
31	0.48912612	0.063851781	0	0.27917391	0.16784818
32	0.49436027	0.057897896	-0.0035354702	0.29343045	0.15784685
33	0.4832164	0.060186904	8.8347579e-06	0.29029697	0.16629089
34	0.4992992	0.064623028	-0.0040732925	0.1983899	0.24176116
35	0.49822196	0.065565735	-0.0040732925	0.20994411	0.23034149
36	0.49883825	0.062701263	-0.0040732925	0.21898784	0.22354594
37	0.49631965	0.067013912	-0.0040732925	0.22935675	0.21138297
38	0.49627948	0.0627869	-0.0040732925	0.24230228	0.20270462
39	0.496185	0.064200006	-0.0040732925	0.25243253	0.19125575
40	0.49460149	0.063888818	-0.0040732925	0.2637811	0.1818019
41	0.49672332	0.062629521	-0.0040732925	0.27412784	0.17059262
42	0.49604529	0.062894307	-0.0040732925	0.28282976	0.16230391
43	0.49513808	0.057522409	-0.0040732925	0.29367733	0.15773547
44	0.49064252	0.05846934	-0.0040640947	0.29497105	0.15998118
45	0.4992992	0.064623028	-0.0040732925	0.1983899	0.24176116
46	0.49822196	0.065565735	-0.0040732925	0.20994411	0.23034149
47	0.49883825	0.062701263	-0.0040732925	0.21898784	0.22354594
48	0.49631965	0.067013912	-0.0040732925	0.22935675	0.21138297
49	0.49627948	0.0627869	-0.0040732925	0.24230228	0.20270462
50	0.496185	0.064200006	-0.0040732925	0.25243253	0.19125575
51	0.49460149	0.063888818	-0.0040732925	0.2637811	0.1818019
52	0.49672332	0.062629521	-0.0040732925	0.27412784	0.17059262
53	0.49604529	0.062894307	-0.0040732925	0.28282976	0.16230391
54	0.49513808	0.057522409	-0.0040732925	0.29367733	0.15773547
55	0.49064252	0.05846934	-0.0040640947	0.29497105	0.15998118
56	0.4992992	0.064623028	-0.0040732925	0.1983899	0.24176116
57	0.49822196	0.065565735	-0.0040732925	0.20994411	0.23034149
58	0.49883825	0.062701263	-0.0040732925	0.21898784	0.22354594
59	0.49631965	0.067013912	-0.0040732925	0.22935675	0.21138297
60	0.49627948	0.0627869	-0.0040732925	0.24230228	0.20270462
61	0.496185	0.064200006	-0.0040732925	0.25243253	0.19125575
62	0.49460149	0.063888818	-0.0040732925	0.2637811	0.1818019
63	0.49672332	0.062629521	-0.0040732925	0.27412784	0.17059262
