Point	ASR
1	4.576213e+09
2	70837512
3	61421228
4	42411152
5	31490670
6	38861468
7	29637760
8	21359984
9	14888937
10	39147352
11	64861268
12	24058296
13	37061336
14	39722580
15	26200860
16	31064042
17	38305408
18	30366608
19	5598941.5
20	23429978
21	11461347
22	5641353
23	16871594
24	39626132
25	50719712
26	44378100
27	22236174
28	27347540
29	10827804
30	12950891
31	12676316
32	10941215
33	3035090
34	16056666
35	31092316
36	19557340
37	18131826
38	9316385
39	8092736
40	6452932.5
41	6632836
42	13675341
43	6630011.5
44	1716373.1
45	10954724
46	23986040
47	13232691
48	19883580
49	5086267.5
50	19937526
51	20210402
52	10305044
53	22726262
54	23342014
55	8294112
56	1.1228985e+08
57	31902846
58	93628808
59	1.1464856e+09
60	20533432
61	14556418
62	3904458.5
63	28905770
64	24755540
65	1.0334731e+08
66	7900470.5
67	15659323
68	42974124
69	28068850
70	15146234
71	13184625
72	5084035
73	11730301
74	4574155
75	5855986.5
76	5.462471e+08
77	1484401.2
78	6370359
79	24327216
80	40466192
81	23069324
82	12687454
83	4197478.5
84	3.4247188e+10
85	10708837
86	7479183.5
87	8460616
88	5695074.5
89	10609778
90	49659112
91	75360464
92	38330540
93	10690831
94	19701908
95	4957115
96	6601008
97	14269102
98	18134828
99	64313060
100	14997951
101	22600598
102	2.8629939e+08
103	27894492
104	43615952
105	32649288
106	12277020
107	77873736
108	4057049.2
109	9677354
110	7.2116109e+08
111	40309740
112	11115574
113	8530045
114	1.4379371e+08
115	38886600
116	40956908
117	1.620652e+08
118	1.2253301e+08
119	20837224
120	1.3796922e+08
121	1.0737012e+08
122	2.6583506e+08
123	47579380
124	22559758
125	11363131
126	10104998
127	52435652
128	8800222
129	7881621
130	27974916
131	1.6786458e+08
132	61273572
