Point	Rp
1	6.4489997e+08
2	3.76e+08
3	4.2383002e+08
4	3.0886e+08
5	2.584e+08
6	2.644e+08
7	2.2957e+08
8	1.800504e+08
9	1.9154e+08
10	2.4617e+08
11	3.144e+08
12	3.1792998e+08
13	4.0532189e+08
14	2.7331878e+08
15	4.175e+08
16	5.8204851e+08
17	5.1420998e+08
18	5.1122e+08
19	1.3571e+08
20	2.765e+08
21	1.3251e+08
22	1.3363785e+08
23	2.5896458e+08
24	5.9674998e+09
25	1.2288767e+08
26	2.6709e+08
27	1.8278e+08
28	71250000
29	1.0802e+08
30	49899000
31	63230000
32	3.28493e+09
33	54689000
34	1.958e+08
35	8.8070003e+08
36	3.9504998e+08
37	78259000
38	1.1707e+08
39	1.1095e+08
40	7.4718899e+08
41	1.3957199e+09
42	7.4619347e+08
43	1.8150053e+09
44	1.62616e+10
45	2.54663e+10
46	1.041288e+10
47	5.2934e+08
48	89810000
49	49490000
50	46290000
51	2.104e+08
52	1.17987e+09
53	5.3227002e+08
54	1.0009e+10
55	9.1658998e+09
56	3.827e+08
57	2.542e+08
58	3.009376e+08
59	2.3976e+08
60	1.0483e+08
61	2.424e+08
62	63570000
63	40850000
64	1.3662e+08
65	2.2215e+10
66	7.2592998e+09
67	2.8264989e+08
68	3.5474801e+10
69	4.254e+08
70	1.373e+08
71	3.118e+08
72	1.6577e+08
73	1.192e+08
74	18534190
75	66759000
76	3.452e+08
77	2.852225e+10
78	1.33979e+10
79	7.6731998e+10
80	1.01584e+09
81	4.7472998e+08
82	2.8298e+08
83	74521000
84	2.601e+08
85	3.692e+08
86	6.1197998e+09
87	2.9654502e+08
88	1.283725e+10
89	1.66784e+10
90	2.45475e+10
91	8.4186029e+08
92	7.1889997e+08
93	3.0278e+08
94	3.1414999e+09
95	3.2290634e+09
96	2.889067e+09
97	4.3888099e+11
98	1.60766e+10
99	1.9924601e+10
100	3.1580349e+09
101	2.2601206e+10
102	1.45317e+10
103	1.7948e+10
104	6.674e+08
105	6.4721997e+08
106	8.0476998e+08
107	8.4141998e+09
108	2.102e+10
109	8.6370417e+09
110	8.0343802e+10
111	1.65178e+09
112	1.06237e+10
113	8.72542e+09
114	1.46619e+10
115	3.6822602e+10
116	4.0391369e+10
117	2.0067e+10
118	1.600225e+10
119	1.5931174e+10
120	1.7336701e+10
121	2.05703e+10
122	2.0070349e+09
123	4.9354798e+09
124	9.5988101e+09
125	3.0796401e+10
126	2.0051979e+11
127	1.2630641e+09
128	3.6827002e+08
129	1.8351499e+10
130	3.6392002e+10
131	1.02011e+10
132	2.2600006e+10
