Point	Rp
1	3.6480998e+08
2	3.4000998e+08
3	2.5968e+08
4	2.8048998e+08
5	2.1076e+08
6	2.629e+08
7	1.8862e+08
8	1.4092e+08
9	1.8993e+08
10	2.6919002e+08
11	2.6314e+08
12	3.4279002e+08
13	2.9376e+08
14	3.0191002e+08
15	1.2976e+08
16	1.3021e+08
17	1.1304e+08
18	1.3247e+08
19	1.2718e+08
20	1.1322e+08
21	1.1487e+08
22	68330000
23	2.4632e+08
24	3.9936e+08
25	2.629e+08
26	1.5687e+08
27	71920000
28	63210000
29	51580000
30	54240000
31	57910000
32	75900000
33	28246000
34	2.5181e+08
35	3.5559002e+08
36	1.946e+08
37	54367000
38	24190000
39	25868000
40	24745190
41	26765000
42	32040000
43	31650000
44	16008000
45	2.1759e+08
46	2.9923002e+08
47	1.225e+08
48	56478000
49	27207000
50	24410000
51	25606200
52	20977000
53	1.7738e+08
54	33361000
55	21553000
56	1.7327e+08
57	3.012e+08
58	85420000
59	39443000
60	32111000
61	38530000
62	19124000
63	25072000
64	37890000
65	18114150
66	21209000
67	1.6515e+08
68	1.855e+08
69	79920000
70	50780000
71	39062000
72	22251000
73	35884000
74	11162000
75	12916000
76	77610000
77	17024000
78	1.20279e+08
79	1.4188e+08
80	75540000
81	50034000
82	69650000
83	29600000
84	28610000
85	17435000
86	13181800
87	27611000
88	1.0356e+08
89	1.3946e+08
90	1.4142e+08
91	90800000
92	70500000
93	22890114
94	57680000
95	20124000
96	19595000
97	14365000
98	67020000
99	8.7070003e+08
100	1.0617e+08
101	1.2193e+08
102	1.2182e+08
103	57082264
104	64250000
105	65990000
106	47930000
107	31308000
108	20034000
109	83490000
110	9.2233997e+08
111	1.4744e+08
112	67862000
113	73110000
114	1.2057e+08
115	1.0877e+08
116	65190000
117	77050000
118	32683368
119	43029000
120	67350000
121	1.2076e+09
122	2.90366e+09
123	1.8201646e+08
124	1.4579e+08
125	65910000
126	65197432
127	98550000
128	54130000
129	46750000
130	87900000
131	4.7478e+08
132	1.0258e+09
