Point	Rp
1	1.105001e+09
2	7.387015e+08
3	4.983e+08
4	5.3700173e+08
5	5.6650086e+08
6	5.8232e+08
7	5.6058182e+08
8	6.0280307e+08
9	7.0050022e+08
10	1.34641e+09
11	3.55619e+09
12	2.95267e+09
13	3.1170007e+09
14	1.9210002e+10
15	2.0690118e+09
16	1.3185e+09
17	1.2716e+09
18	1.1470013e+09
19	1.3080004e+09
20	1.5489201e+09
21	1.121002e+09
22	2.3300019e+09
23	2.1960274e+10
24	3.062e+10
25	1.5550003e+10
26	1.5857601e+10
27	1.280731e+10
28	4.0090012e+09
29	2.9419799e+09
30	4.5548001e+09
31	3.1231401e+09
32	2.42599e+11
33	8.8650004e+09
34	3.34202e+10
35	3.5566199e+10
36	3.39414e+10
37	1.693448e+10
38	8.5062477e+09
39	2.2439e+10
40	5.0075802e+09
41	6.8450299e+09
42	1.15506e+10
43	1.5810007e+10
44	1.0600105e+10
45	3.2761399e+10
46	2.111642e+10
47	1.527963e+10
48	3.1533702e+11
49	2.35771e+11
50	4.5306998e+09
51	7.248e+09
52	6.2976e+10
53	3.82063e+09
54	1.6466e+10
55	1.938884e+10
56	5.6910107e+10
57	3.01142e+10
58	1.7330303e+10
59	1.16713e+10
60	2.2002e+11
61	1.059003e+10
62	6.5801001e+09
63	5.84179e+09
64	8.6953196e+09
65	1.1660372e+08
66	1.038529e+10
67	1.2017587e+12
68	2.1542791e+11
69	1.5330034e+10
70	3.0621e+10
71	2.7730014e+10
72	1.4610971e+10
73	1.54922e+10
74	3.7839501e+09
75	9.4000005e+09
76	1.6340023e+10
77	4.5310054e+10
78	1.4670001e+11
79	7.838625e+10
80	2.8153909e+10
81	4.7321801e+10
82	1.3170002e+11
83	8.7016499e+09
84	4.3640433e+09
85	9.8477005e+09
86	8.6529997e+09
87	1.6120008e+11
88	4.4457091e+10
89	8.4280001e+10
90	1.3446605e+11
91	6.3160009e+10
92	2.4223374e+11
93	8.04719e+10
94	1.2240008e+11
95	1.340075e+11
96	2.1510007e+10
97	4.6940066e+10
98	4.1065558e+10
99	8.9080005e+10
100	1.78255e+11
101	8.6670574e+10
102	8.2381152e+10
103	1.6560022e+11
104	8.6890938e+10
105	4.758e+10
106	2.1050003e+10
107	1.6540045e+10
108	3.3150073e+10
109	7.8600012e+10
110	1.03358e+11
111	7.8050001e+10
112	1.36556e+11
113	2.229201e+11
114	8.5053678e+10
115	8.4193001e+10
116	1.188673e+11
117	3.4437239e+10
118	2.994459e+10
119	8.7245578e+10
120	6.2860063e+10
121	1.528356e+11
122	3.79153e+10
123	2.4427989e+10
124	4.1347142e+10
125	3.6455039e+10
126	7.9860072e+10
127	1.1642576e+11
128	97543904
129	6.1622149e+10
130	1.089988e+11
131	5.0300257e+09
132	5.0251469e+10
