Point	ASR
1	26063234
2	25440466
3	11986422
4	18672354
5	12896541
6	9374190
7	7745590
8	10020101
9	13347673
10	8719797
11	6168386.5
12	8498629
13	8956673
14	9787624
15	5989755.5
16	4433412
17	4268433.5
18	4416706.5
19	4636358.5
20	3915992
21	1699286
22	1925166.4
23	6100653.5
24	11699595
25	5362777.5
26	3406394.5
27	2253148.2
28	1231533.2
29	1137067.1
30	1150054.1
31	2463132.2
32	1991857.6
33	1077879.5
34	3571359.5
35	6785206
36	3955261.8
37	2036567.1
38	1318266.8
39	1819923.1
40	3679116
41	1847569.1
42	3362758
43	3.4444298e+08
44	9813605
45	18183522
46	30134132
47	3145171.5
48	2062139.6
49	2080989.2
50	2586157
51	3804779.8
52	2479971.2
53	1261222.8
54	9.0162688e+08
55	3.5133091e+08
56	20268282
57	13206616
58	5029057.5
59	7166281
60	3788757.5
61	4430608.5
62	2676100.5
63	34734988
64	35217224
65	9.0671315e+08
66	7.0962547e+08
67	28651300
68	1.5140798e+10
69	7988121
70	5548676.5
71	3535223.2
72	726555.5
73	3401085.2
74	12787528
75	12598060
76	2148480
77	60161552
78	66566524
79	3.5490384e+08
80	43382216
81	11767768
82	21610998
83	2804497.5
84	3216359.8
85	2.1645838e+08
86	8017652
87	3.1281002e+08
88	2.2264417e+09
89	4.1801683e+08
90	2.2104448e+09
91	2.9928986e+08
92	1.5423133e+08
93	3711317.2
94	83292976
95	191834.28
96	7.2150067e+08
97	2.5308334e+08
98	1.523891e+08
99	3.5222659e+08
100	24154132
101	6.4782099e+08
102	6.9897235e+08
103	3.3390074e+08
104	25907342
105	3.6867971e+08
106	5.9216461e+08
107	6.2486227e+08
108	3.6986096e+08
109	5.5310522e+08
110	1.6106948e+09
111	5.4946883e+09
112	25369980
113	2.6133285e+08
114	3.7762634e+08
115	3.827905e+08
116	6.1130912e+08
117	4.0224604e+09
118	3.6517654e+08
119	1.0999658e+10
120	4.4840198e+08
121	5.0002739e+08
122	3.9294381e+08
123	64723036
124	19264544
125	11903485
126	64789012
127	3984164.5
128	2897802.5
129	3.3658304e+08
130	71866072
131	2.7248989e+08
132	5.1971325e+08
