Point	Rp
1	1.7133e+08
2	1.2919e+08
3	1.242725e+08
4	1.2631e+08
5	1.1843925e+08
6	1.0877e+08
7	93660000
8	58220000
9	66930000
10	87250000
11	87320000
12	75090000
13	1.005472e+08
14	1.038e+08
15	61480000
16	43036000
17	33043000
18	31318000
19	25801000
20	25070000
21	20274000
22	22640000
23	1.0332e+08
24	92543088
25	60049000
26	43700000
27	24589230
28	17604000
29	12920467
30	14142000
31	14654000
32	13675000
33	13682000
34	92610000
35	99390000
36	49830000
37	32236000
38	25774000
39	58990000
40	18794000
41	15004700
42	14479000
43	17906740
44	11243000
45	83634000
46	1.3584e+08
47	56593260
48	25287000
49	16354100
50	15971344
51	15861000
52	12549000
53	12870000
54	22637000
55	12353400
56	1.1402e+08
57	1.3053e+08
58	67890000
59	31469000
60	20890028
61	26263000
62	21668000
63	16270047
64	19597000
65	37803000
66	29070000
67	1.2511e+08
68	2.542e+08
69	55230000
70	35399000
71	20553000
72	12404760
73	12116500
74	13652900
75	12530700
76	39181232
77	19442000
78	1.0369e+08
79	2.015e+08
80	1.3971e+08
81	28718350
82	28908000
83	16934000
84	18321076
85	19873000
86	9979300
87	9334900
88	37043000
89	1.9006e+08
90	1.0553e+08
91	1.1774e+08
92	53930000
93	76712000
94	13073200
95	32049000
96	24286030
97	29070000
98	1.0702136e+08
99	2.2473699e+08
100	1.3501e+08
101	3.0442e+08
102	1.6062e+08
103	1.5725e+08
104	48550000
105	2.3385e+08
106	1.7405e+08
107	29048000
108	31600000
109	50195000
110	2.3763e+09
111	82600000
112	83030000
113	1.4933e+08
114	1.3441603e+08
115	1.77115e+09
116	1.508e+09
117	2.3338e+08
118	2.294e+08
119	82140000
120	1.4997e+08
121	1.527152e+10
122	3.9416998e+08
123	3.7948998e+08
124	5.348e+08
125	7.3695002e+09
126	1.131399e+10
127	1.66784e+10
128	88360000
129	3.4140201e+09
130	9.6014705e+09
131	6.3226998e+09
132	2.1509769e+10
