Point	ASR
1	5382486
2	4058620
3	3904132.5
4	3968142.2
5	3720875.8
6	3417107.5
7	2942413.2
8	1829033.8
9	2102666.2
10	2741037.2
11	2743236.5
12	2359020
13	3158780.8
14	3260970.5
15	1931449.5
16	1352014.6
17	1038075.6
18	983883.12
19	810561.62
20	787596.62
21	636925.94
22	711256
23	3245890.8
24	2907324.5
25	1886493.4
26	1372874.9
27	772492.81
28	553045.5
29	405908.09
30	444283.66
31	460368.59
32	429612.44
33	429832.34
34	2909426.5
35	3122426.2
36	1565454.2
37	1012722.9
38	809713.44
39	1853224
40	590430.44
41	471386.16
42	454870.81
43	562556.38
44	353208.97
45	2627437.5
46	4267536
47	1777928.2
48	794413.88
49	513778.78
50	501754.16
51	498287.59
52	394238.12
53	404322.62
54	711161.75
55	388093.19
56	3582041
57	4100717.5
58	2132825.5
59	988626.94
60	656279
61	825075.81
62	680719.75
63	511138.16
64	615657.38
65	1187615.2
66	913260.19
67	3930443.2
68	7985922
69	1735100.1
70	1112091.5
71	645691
72	389706.69
73	380650.75
74	428918.16
75	393663.22
76	1230913.8
77	610787.94
78	3257514.8
79	6330304
80	4389115.5
81	902212.81
82	908170.81
83	531996.88
84	575573.12
85	624328.19
86	313508.69
87	293264.28
88	1163739.1
89	5970906
90	3315320
91	3698908
92	1694259.5
93	2409976.5
94	410706.34
95	1006848.2
96	762967.5
97	913260.19
98	3362172.2
99	7060315
100	4241460.5
101	9563628
102	5046022
103	4940150.5
104	1525242
105	7346608
106	5467937.5
107	912569.06
108	992742.44
109	1576921.1
110	74653600
111	2594953.2
112	2608462.2
113	4691336.5
114	4222801
115	55642272
116	47375176
117	7331842.5
118	7206807.5
119	2580502
120	4711442.5
121	4.7976854e+08
122	12383205
123	11922020
124	16801224
125	2.3151947e+08
126	3.5543917e+08
127	5.2396694e+08
128	2775909
129	1.0725451e+08
130	3.0163882e+08
131	1.9863331e+08
132	6.757488e+08
