Point	Zr_at
1	0.23320685
2	0.22965562
3	0.21751651
4	0.21008393
5	0.20403948
6	0.19901171
7	0.18438672
8	0.17851464
9	0.17295472
10	0.16140598
11	0.1509968
12	0.23621583
13	0.23207742
14	0.22093318
15	0.21282881
16	0.20549814
17	0.19924648
18	0.18598726
19	0.17937605
20	0.17272098
21	0.16297948
22	0.15269409
23	0.23922481
24	0.2344992
25	0.22434986
26	0.2155737
27	0.2069568
28	0.19948123
29	0.1875878
30	0.18023747
31	0.17248726
32	0.16455297
33	0.15439138
34	0.2422338
35	0.236921
36	0.22776653
37	0.21831858
38	0.20841548
39	0.199716
40	0.18918835
41	0.18109889
42	0.17225352
43	0.16612647
44	0.15608865
45	0.24524277
46	0.23934279
47	0.2311832
48	0.22106346
49	0.20987414
50	0.19995075
51	0.19078889
52	0.1819603
53	0.17201978
54	0.16769996
55	0.15778594
56	0.24368323
57	0.23802318
58	0.22917233
59	0.21960962
60	0.20963812
61	0.19916095
62	0.18956555
63	0.18072306
64	0.17168897
65	0.16641583
66	0.15689941
67	0.24212371
68	0.23670357
69	0.22716147
70	0.21815576
71	0.2094021
72	0.19837114
73	0.18834223
74	0.1794858
75	0.17135815
76	0.16513169
77	0.15601288
78	0.24056417
79	0.23538397
80	0.2251506
81	0.21670191
82	0.20916609
83	0.19758134
84	0.18711889
85	0.17824854
86	0.17102735
87	0.16384754
88	0.15512635
89	0.23524748
90	0.23016378
91	0.22071213
92	0.21250945
93	0.20625417
94	0.1949417
95	0.18522446
96	0.17679136
97	0.16979977
98	0.1623981
99	0.15383264
100	0.22993079
101	0.22494359
102	0.21627367
103	0.20831698
104	0.20334223
105	0.19230208
106	0.18333001
107	0.17533417
108	0.1685722
109	0.16094866
110	0.15253894
111	0.2246141
112	0.2197234
113	0.21183521
114	0.20412453
115	0.2004303
116	0.18966244
117	0.18143559
118	0.17387699
119	0.16734464
120	0.15949923
121	0.15124524
122	0.21929741
123	0.21450323
124	0.20739675
125	0.19993207
126	0.19751838
127	0.18702281
128	0.17954116
129	0.17241982
130	0.16611707
131	0.15804979
132	0.14995153
