Point	Y_at
1	0.088371731
2	0.083168119
3	0.080095984
4	0.078014731
5	0.074633725
6	0.061266378
7	0.063339561
8	0.053393107
9	0.049262363
10	0.047441185
11	0.044786248
12	0.08981318
13	0.085163482
14	0.081996545
15	0.0786613
16	0.074546911
17	0.063286945
18	0.062766165
19	0.054357056
20	0.050048579
21	0.046894971
22	0.044268854
23	0.091254629
24	0.087158851
25	0.083897106
26	0.079307862
27	0.074460097
28	0.065307505
29	0.062192764
30	0.055321004
31	0.050834797
32	0.046348758
33	0.04375146
34	0.092696078
35	0.089154221
36	0.085797675
37	0.07995443
38	0.074373275
39	0.067328073
40	0.061619367
41	0.056284953
42	0.051621012
43	0.045802541
44	0.043234061
45	0.094137527
46	0.091149591
47	0.087698236
48	0.080600999
49	0.074286461
50	0.069348633
51	0.061045967
52	0.057248902
53	0.052407231
54	0.045256328
55	0.042716667
56	0.093365021
57	0.090080075
58	0.086778671
59	0.079942897
60	0.074401684
61	0.068590328
62	0.061076716
63	0.057016861
64	0.051684648
65	0.045885876
66	0.042722292
67	0.092592515
68	0.089010559
69	0.085859112
70	0.079284802
71	0.074516907
72	0.067832023
73	0.061107464
74	0.056784816
75	0.050962068
76	0.046515424
77	0.042727914
78	0.091820009
79	0.087941051
80	0.084939547
81	0.078626707
82	0.074632131
83	0.067073718
84	0.061138213
85	0.056552771
86	0.050239485
87	0.047144968
88	0.042733539
89	0.090456836
90	0.086090654
91	0.083802857
92	0.07724113
93	0.073341429
94	0.066864081
95	0.061116606
96	0.056158304
97	0.050407298
98	0.047504049
99	0.042310786
100	0.089093663
101	0.084240265
102	0.082666166
103	0.075855561
104	0.072050735
105	0.066654451
106	0.061095003
107	0.055763837
108	0.050575107
109	0.047863126
110	0.041888028
111	0.08773049
112	0.082389869
113	0.081529476
114	0.074469991
115	0.070760034
116	0.066444814
117	0.0610734
118	0.05536937
119	0.05074292
120	0.048222207
121	0.041465275
122	0.086367324
123	0.08053948
124	0.080392785
125	0.073084414
126	0.069469333
127	0.066235177
128	0.061051793
129	0.054974902
130	0.050910734
131	0.048581284
132	0.041042518
