Point	ASR
1	17678042
2	22073754
3	19198256
4	24246792
5	17881930
6	13478678
7	12529918
8	7627466.5
9	9040868
10	15469189
11	13797863
12	16049127
13	18623346
14	27891350
15	26543294
16	18010736
17	13391027
18	11585870
19	10231844
20	8646284
21	8231908.5
22	4783699
23	17448390
24	27394664
25	21424702
26	9475978
27	5409504
28	4284186.5
29	2785333.8
30	2956236.2
31	4329645
32	5588574.5
33	1751122.2
34	15579145
35	33351120
36	9564885
37	6618702
38	2195311.8
39	2282679.2
40	3080329
41	1832112.5
42	4852186
43	2444785.2
44	1533095.9
45	12792554
46	25827012
47	8648824
48	3324399
49	2062495
50	2353063.2
51	4059562.5
52	2186232.5
53	1963179.6
54	2944298.2
55	1529011.9
56	16248303
57	27058514
58	8158766.5
59	5272216.5
60	2883251.8
61	3290941.2
62	2146962.5
63	1832175.2
64	3082214
65	4268478.5
66	1629228.6
67	14090345
68	23265674
69	8258297.5
70	9088620
71	3828655.8
72	2697809
73	2106122
74	1513272.5
75	1164587.4
76	8820328
77	1077094.1
78	8263010
79	20200424
80	5901791
81	4291726
82	2113801.5
83	2331185.5
84	2497878.2
85	1746598.4
86	1587791
87	7522537.5
88	7077060
89	10944985
90	17401896
91	12458603
92	8546067
93	3003391.5
94	3492819.8
95	1331343
96	2660926.8
97	9002854
98	45081816
99	47620220
100	12035431
101	17332780
102	18943160
103	30443892
104	34767976
105	34887356
106	8526904
107	13432151
108	28864614
109	24408584
110	78970464
111	24010230
112	10181893
113	6138133
114	16417949
115	17758466
116	16782374
117	26007966
118	32477758
119	19625512
120	12009042
121	23959650
122	1.6067442e+08
123	24441884
124	13133103
125	9711597
126	7911466
127	12853187
128	6472618
129	3864469.8
130	10030783
131	44645136
132	74045392
