Point	Rp
1	1.4566551e+11
2	2.2548301e+09
3	1.9551e+09
4	1.34999e+09
5	1.00238e+09
6	1.2369999e+09
7	9.434e+08
8	6.7991002e+08
9	4.7392998e+08
10	1.2461e+09
11	2.0646001e+09
12	7.658e+08
13	1.1797e+09
14	1.26441e+09
15	8.34e+08
16	9.888e+08
17	1.2193e+09
18	9.666e+08
19	1.7822e+08
20	7.458e+08
21	3.648263e+08
22	1.7957e+08
23	5.3704e+08
24	1.26134e+09
25	1.61446e+09
26	1.4126001e+09
27	7.078e+08
28	8.7049997e+08
29	3.4466e+08
30	4.1224e+08
31	4.035e+08
32	3.4827002e+08
33	96610000
34	5.111e+08
35	9.8969997e+08
36	6.2252998e+08
37	5.7715443e+08
38	2.9655002e+08
39	2.576e+08
40	2.0540339e+08
41	2.111299e+08
42	4.353e+08
43	2.1104e+08
44	54633900
45	3.487e+08
46	7.6350003e+08
47	4.2120998e+08
48	6.3291456e+08
49	1.6190106e+08
50	6.3463168e+08
51	6.4331763e+08
52	3.2802e+08
53	7.234e+08
54	7.43e+08
55	2.6401e+08
56	3.5742999e+09
57	1.0155e+09
58	2.9803e+09
59	3.6493799e+10
60	6.536e+08
61	4.6334557e+08
62	1.2428288e+08
63	9.2009997e+08
64	7.8799398e+08
65	3.2896499e+09
66	2.5148e+08
67	4.9845216e+08
68	1.36791e+09
69	8.9345997e+08
70	4.8212e+08
71	4.1968e+08
72	1.6183e+08
73	3.7338739e+08
74	1.456e+08
75	1.86402e+08
76	1.73876e+10
77	47250000
78	2.0277501e+08
79	7.7436e+08
80	1.28808e+09
81	7.3432e+08
82	4.0385453e+08
83	1.3361e+08
84	1.0901228e+12
85	3.4087315e+08
86	2.3807e+08
87	2.6931002e+08
88	1.8128e+08
89	3.3772e+08
90	1.5807e+09
91	2.3987999e+09
92	1.2201e+09
93	3.403e+08
94	6.2713178e+08
95	1.5779e+08
96	2.1011678e+08
97	4.542e+08
98	5.7724998e+08
99	2.04715e+09
100	4.774e+08
101	7.194e+08
102	9.1131996e+09
103	8.8791002e+08
104	1.38834e+09
105	1.03926e+09
106	3.9079002e+08
107	2.4787999e+09
108	1.2914e+08
109	3.0804e+08
110	2.2955291e+10
111	1.2831e+09
112	3.5382e+08
113	2.7152e+08
114	4.5770998e+09
115	1.2377999e+09
116	1.3037e+09
117	5.1587e+09
118	3.90035e+09
119	6.6327002e+08
120	4.3917e+09
121	3.4177001e+09
122	8.4617999e+09
123	1.5145e+09
124	7.1809997e+08
125	3.617e+08
126	3.2165235e+08
127	1.6690801e+09
128	2.8012e+08
129	2.5088e+08
130	8.9047002e+08
131	5.3433001e+09
132	1.9504e+09
