Point	Row	Column	110_s_MaxIntensity
1	1	1	0.80610591
2	1	2	0.84697783
3	1	3	0.87925857
4	1	4	0.90158963
5	1	5	0.91303945
6	1	6	0.91317517
7	1	7	0.90208876
8	1	8	0.8803795
9	1	9	0.84909403
10	1	10	0.80963552
11	1	11	0.76364887
12	2	1	0.87387711
13	2	2	0.92029208
14	2	3	0.95743448
15	2	4	0.98374641
16	2	5	0.99812442
17	2	6	1
18	2	7	0.98937368
19	2	8	0.9668057
20	2	9	0.9333638
21	2	10	0.89053631
22	2	11	0.84011614
23	3	1	0.83333731
24	3	2	0.87877387
25	3	3	0.91589582
26	3	4	0.94318938
27	3	5	0.95951164
28	3	6	0.96417117
29	3	7	0.95697582
30	3	8	0.93824804
31	3	9	0.90880358
32	3	10	0.86989611
33	3	11	0.82312655
34	4	1	0.70393991
35	4	2	0.74233919
36	4	3	0.77442598
37	4	4	0.79890597
38	4	5	0.81480962
39	4	6	0.82142013
40	4	7	0.81840014
41	4	8	0.80581188
42	4	9	0.78412569
43	4	10	0.75419766
44	4	11	0.71721357
