Point	Row	Column	_s_MaxIntensity
1	1	1	0.0817004
2	1	2	0.070928402
3	1	3	0.067778304
4	1	4	0.064520799
5	1	5	0.066054709
6	1	6	0.066639692
7	1	7	0.061002895
8	1	8	0.061186999
9	1	9	0.058569893
10	1	10	0.062277202
11	1	11	0.065544397
12	2	1	0.075908601
13	2	2	0.082228892
14	2	3	0.078012399
15	2	4	0.072563604
16	2	5	0.070620507
17	2	6	0.077310309
18	2	7	0.072581999
19	2	8	0.072652601
20	2	9	0.073265001
21	2	10	0.082129106
22	2	11	0.085020199
23	3	1	0.073209904
24	3	2	0.07649029
25	3	3	0.079687707
26	3	4	0.0853182
27	3	5	0.0862334
28	3	6	0.084557801
29	3	7	0.082470402
30	3	8	0.080945604
31	3	9	0.086244695
32	3	10	0.088472001
33	3	11	0.097901396
34	4	1	0.062474199
35	4	2	0.089901201
36	4	3	0.068329401
37	4	4	0.079621799
38	4	5	0.076039001
39	4	6	0.083895802
40	4	7	0.087630309
41	4	8	0.089234799
42	4	9	0.088398889
43	4	10	0.093306199
44	4	11	0.099230804
