Point	Row	Column	d_um
1	1	1	0.20916
2	1	2	0.22643
3	1	3	0.24307001
4	1	4	0.25714999
5	1	5	0.26543
6	1	6	0.26899001
7	1	7	0.26598001
8	1	8	0.25907001
9	1	9	0.24433
10	1	10	0.22511999
11	1	11	0.20255999
12	2	1	0.25108001
13	2	2	0.27268001
14	2	3	0.29427999
15	2	4	0.30827999
16	2	5	0.31804001
17	2	6	0.32023001
18	2	7	0.315
19	2	8	0.30357999
20	2	9	0.28325
21	2	10	0.26205999
22	2	11	0.23546
23	3	1	0.23841
24	3	2	0.25867
25	3	3	0.27790001
26	3	4	0.2895
27	3	5	0.29822001
28	3	6	0.30423999
29	3	7	0.29848999
30	3	8	0.28898999
31	3	9	0.27256
32	3	10	0.25323999
33	3	11	0.22981
34	4	1	0.17922001
35	4	2	0.19502001
36	4	3	0.20603999
37	4	4	0.21721999
38	4	5	0.22486
39	4	6	0.22967
40	4	7	0.23021001
41	4	8	0.22661
42	4	9	0.21607
43	4	10	0.2051
44	4	11	0.18993001
