Point	Row	Column	_s_Sigma
1	1	1	0.070352398
2	1	2	0.060848799
3	1	3	0.06775821
4	1	4	0.069278799
5	1	5	0.07434801
6	1	6	0.076979391
7	1	7	0.077838391
8	1	8	0.079827398
9	1	9	0.082966991
10	1	10	0.085846402
11	1	11	0.0820878
12	2	1	0.060600601
13	2	2	0.068346195
14	2	3	0.073293597
15	2	4	0.077666603
16	2	5	0.083556809
17	2	6	0.088491008
18	2	7	0.097416803
19	2	8	0.0998106
20	2	9	0.1056526
21	2	10	0.11353541
22	2	11	0.1161214
23	3	1	0.069097407
24	3	2	0.077078596
25	3	3	0.081868805
26	3	4	0.093957201
27	3	5	0.1023262
28	3	6	0.1162902
29	3	7	0.116541
30	3	8	0.1262064
31	3	9	0.12811819
32	3	10	0.13146301
33	3	11	0.1425536
34	4	1	0.074096799
35	4	2	0.097594596
36	4	3	0.090747602
37	4	4	0.1054436
38	4	5	0.1095196
39	4	6	0.1212648
40	4	7	0.13658142
41	4	8	0.14140519
42	4	9	0.14248678
43	4	10	0.1475248
44	4	11	0.1466646
