Point	Row	Column	PeakArea_110
1	1	1	13.69891
2	1	2	13.340564
3	1	3	13.188866
4	1	4	13.123694
5	1	5	13.055776
6	1	6	13.160878
7	1	7	13.058339
8	1	8	12.828919
9	1	9	12.4341
10	1	10	12.624143
11	1	11	12.965313
12	2	1	12.352962
13	2	2	12.218333
14	2	3	12.086025
15	2	4	12.114487
16	2	5	12.680635
17	2	6	12.334792
18	2	7	11.914114
19	2	8	11.982571
20	2	9	11.903123
21	2	10	11.68023
22	2	11	11.507608
23	3	1	13.816508
24	3	2	14.069082
25	3	3	12.717554
26	3	4	11.933032
27	3	5	13.398202
28	3	6	14.263932
29	3	7	13.973691
30	3	8	13.541249
31	3	9	11.657421
32	3	10	12.045475
33	3	11	11.535622
34	4	1	12.74938
35	4	2	13.322469
36	4	3	14.154023
37	4	4	14.299401
38	4	5	14.268838
39	4	6	14.012
40	4	7	13.864623
41	4	8	13.142972
42	4	9	12.826756
43	4	10	12.776538
44	4	11	12.64019
