Point	Row	Column	_s_FWHM
1	1	1	0.65185761
2	1	2	0.64099681
3	1	3	0.62555426
4	1	4	0.61092782
5	1	5	0.59578806
6	1	6	0.58212036
7	1	7	0.56632435
8	1	8	0.55415839
9	1	9	0.54264838
10	1	10	0.54204839
11	1	11	0.52080101
12	2	1	0.7051748
13	2	2	0.69498396
14	2	3	0.67734158
15	2	4	0.66292262
16	2	5	0.64741224
17	2	6	0.63936144
18	2	7	0.62322217
19	2	8	0.61112678
20	2	9	0.60377419
21	2	10	0.59883463
22	2	11	0.58264881
23	3	1	0.71549624
24	3	2	0.70583612
25	3	3	0.69622487
26	3	4	0.6930986
27	3	5	0.67979681
28	3	6	0.66588259
29	3	7	0.66119981
30	3	8	0.64850402
31	3	9	0.64348572
32	3	10	0.63735181
33	3	11	0.6292488
34	4	1	0.70139921
35	4	2	0.70355737
36	4	3	0.68990242
37	4	4	0.68928981
38	4	5	0.68057942
39	4	6	0.67783642
40	4	7	0.67548549
41	4	8	0.666866
42	4	9	0.65928453
43	4	10	0.65750861
44	4	11	0.64499879
