Point	Row	Column	Pos_110
1	1	1	30.532425
2	1	2	30.543219
3	1	3	30.554354
4	1	4	30.559723
5	1	5	30.565964
6	1	6	30.560579
7	1	7	30.561842
8	1	8	30.568262
9	1	9	30.565697
10	1	10	30.563353
11	1	11	30.563522
12	2	1	30.505283
13	2	2	30.517231
14	2	3	30.532612
15	2	4	30.54504
16	2	5	30.552299
17	2	6	30.552629
18	2	7	30.54903
19	2	8	30.544651
20	2	9	30.540371
21	2	10	30.540371
22	2	11	30.536924
23	3	1	30.521418
24	3	2	30.523561
25	3	3	30.526335
26	3	4	30.521578
27	3	5	30.524874
28	3	6	30.525995
29	3	7	30.525187
30	3	8	30.523098
31	3	9	30.510664
32	3	10	30.511009
33	3	11	30.517223
34	4	1	30.49962
35	4	2	30.49226
36	4	3	30.497328
37	4	4	30.500097
38	4	5	30.492239
39	4	6	30.483362
40	4	7	30.480249
41	4	8	30.481441
42	4	9	30.47913
43	4	10	30.478415
44	4	11	30.483957
