Point	Row	Column	MaxInt_110
1	1	1	4606.1064
2	1	2	4905.4136
3	1	3	5146.5566
4	1	4	5260.751
5	1	5	5270.2236
6	1	6	5477.1738
7	1	7	5513.1152
8	1	8	5069.8184
9	1	9	4919.2778
10	1	10	4465.7939
11	1	11	4192.0371
12	2	1	4900.0391
13	2	2	5239.5483
14	2	3	5436.0859
15	2	4	5827.1387
16	2	5	6747.4482
17	2	6	6363.6104
18	2	7	5805.5669
19	2	8	5500.8081
20	2	9	5106.4136
21	2	10	4701.8496
22	2	11	4285.9644
23	3	1	6002.1035
24	3	2	6903.5869
25	3	3	6542.7852
26	3	4	6308.8716
27	3	5	7548.334
28	3	6	8072.2812
29	3	7	7740.1309
30	3	8	6627.5303
31	3	9	5061.8604
32	3	10	4607.5439
33	3	11	4205.8223
34	4	1	3689.498
35	4	2	4088.9456
36	4	3	5237.9028
37	4	4	5750.8359
38	4	5	5936.7163
39	4	6	5575.6577
40	4	7	5495.9004
41	4	8	4732.1084
42	4	9	4323.9414
43	4	10	4102.0698
44	4	11	3833.6562
