Point	Row	Column	_s_FWHM
1	1	1	0.12275021
2	1	2	0.12240116
3	1	3	0.12258785
4	1	4	0.12156644
5	1	5	0.12590311
6	1	6	0.13005202
7	1	7	0.12327235
8	1	8	0.12475383
9	1	9	0.12284838
10	1	10	0.11330865
11	1	11	0.11052222
12	2	1	0.15943532
13	2	2	0.16289413
14	2	3	0.1577681
15	2	4	0.1614594
16	2	5	0.14626276
17	2	6	0.14632621
18	2	7	0.13656312
19	2	8	0.13822803
20	2	9	0.13857242
21	2	10	0.12783715
22	2	11	0.13304396
23	3	1	0.15566462
24	3	2	0.16157599
25	3	3	0.15922822
26	3	4	0.16280799
27	3	5	0.15420492
28	3	6	0.15751247
29	3	7	0.1596908
30	3	8	0.15588813
31	3	9	0.14424893
32	3	10	0.14576481
33	3	11	0.13787998
34	4	1	0.13747501
35	4	2	0.13867424
36	4	3	0.14137495
37	4	4	0.14798257
38	4	5	0.14685452
39	4	6	0.14264373
40	4	7	0.14634585
41	4	8	0.14335085
42	4	9	0.14506522
43	4	10	0.14480154
44	4	11	0.14150205
