Point	Row	Column	110_s_Position
1	1	1	1.015782
2	1	2	1.0182054
3	1	3	1.0205653
4	1	4	1.0080669
5	1	5	1.010887
6	1	6	1.0022597
7	1	7	1.004287
8	1	8	0.99509841
9	1	9	0.99547666
10	1	10	0.99308914
11	1	11	0.98463851
12	2	1	0.92689753
13	2	2	0.92450207
14	2	3	0.92862189
15	2	4	0.93308389
16	2	5	0.94270396
17	2	6	0.94656461
18	2	7	0.95293546
19	2	8	0.95093364
20	2	9	0.95994121
21	2	10	0.96634746
22	2	11	0.96023715
23	3	1	0.92460597
24	3	2	0.92467988
25	3	3	0.92131424
26	3	4	0.92069054
27	3	5	0.92637724
28	3	6	0.93000907
29	3	7	0.92755657
30	3	8	0.92972803
31	3	9	0.9407323
32	3	10	0.94141096
33	3	11	0.94711524
34	4	1	0.95498586
35	4	2	0.95792174
36	4	3	0.95788175
37	4	4	0.95635211
38	4	5	0.95173049
39	4	6	0.95749193
40	4	7	0.961631
41	4	8	0.96357429
42	4	9	0.96519625
43	4	10	0.9665547
44	4	11	0.97439867
