Point	Row	Column	Zr_at
1	1	1	0.061375104
2	1	2	0.061200578
3	1	3	0.061293926
4	1	4	0.060783222
5	1	5	0.062951557
6	1	6	0.065026008
7	1	7	0.061636176
8	1	8	0.062376916
9	1	9	0.061424188
10	1	10	0.056654323
11	1	11	0.055261109
12	2	1	0.079717658
13	2	2	0.081447065
14	2	3	0.07888405
15	2	4	0.080729701
16	2	5	0.073131382
17	2	6	0.073163107
18	2	7	0.068281561
19	2	8	0.069114015
20	2	9	0.069286212
21	2	10	0.063918576
22	2	11	0.06652198
23	3	1	0.077832311
24	3	2	0.080787994
25	3	3	0.07961411
26	3	4	0.081403993
27	3	5	0.07710246
28	3	6	0.078756236
29	3	7	0.079845399
30	3	8	0.077944063
31	3	9	0.072124466
32	3	10	0.072882406
33	3	11	0.068939991
34	4	1	0.068737507
35	4	2	0.069337122
36	4	3	0.070687473
37	4	4	0.073991284
38	4	5	0.07342726
39	4	6	0.071321867
40	4	7	0.073172927
41	4	8	0.071675427
42	4	9	0.072532609
43	4	10	0.072400771
44	4	11	0.070751026
