Point	Row	Column	_s_MaxIntensity
1	1	1	0.13853221
2	1	2	0.14060651
3	1	3	0.1431531
4	1	4	0.12963329
5	1	5	0.13679013
6	1	6	0.13231179
7	1	7	0.12755941
8	1	8	0.11985225
9	1	9	0.11832503
10	1	10	0.10639776
11	1	11	0.095160723
12	2	1	0.086332865
13	2	2	0.087396212
14	2	3	0.086389996
15	2	4	0.094543271
16	2	5	0.088966727
17	2	6	0.092890844
18	2	7	0.089498602
19	2	8	0.089161649
20	2	9	0.098513596
21	2	10	0.094184637
22	2	11	0.093281105
23	3	1	0.080270559
24	3	2	0.086255863
25	3	3	0.080542482
26	3	4	0.083498493
27	3	5	0.080582164
28	3	6	0.087521546
29	3	7	0.087247372
30	3	8	0.085616171
31	3	9	0.084981225
32	3	10	0.087175742
33	3	11	0.084995233
34	4	1	0.092460848
35	4	2	0.096596003
36	4	3	0.099256717
37	4	4	0.1043347
38	4	5	0.098585002
39	4	6	0.10013567
40	4	7	0.10797683
41	4	8	0.10692514
42	4	9	0.11026145
43	4	10	0.11135624
44	4	11	0.11590073
