Point	Row	Column	Co_at
1	1	1	0.507891
2	1	2	0.5091027
3	1	3	0.51028264
4	1	4	0.50403345
5	1	5	0.50544351
6	1	6	0.50112987
7	1	7	0.5021435
8	1	8	0.49754921
9	1	9	0.49773833
10	1	10	0.49654457
11	1	11	0.49231926
12	2	1	0.46344876
13	2	2	0.46225104
14	2	3	0.46431094
15	2	4	0.46654195
16	2	5	0.47135198
17	2	6	0.47328231
18	2	7	0.47646773
19	2	8	0.47546682
20	2	9	0.4799706
21	2	10	0.48317373
22	2	11	0.48011857
23	3	1	0.46230298
24	3	2	0.46233994
25	3	3	0.46065712
26	3	4	0.46034527
27	3	5	0.46318862
28	3	6	0.46500453
29	3	7	0.46377829
30	3	8	0.46486402
31	3	9	0.47036615
32	3	10	0.47070548
33	3	11	0.47355762
34	4	1	0.47749293
35	4	2	0.47896087
36	4	3	0.47894087
37	4	4	0.47817606
38	4	5	0.47586524
39	4	6	0.47874597
40	4	7	0.4808155
41	4	8	0.48178715
42	4	9	0.48259813
43	4	10	0.48327735
44	4	11	0.48719934
