FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.82622Co0.89908Fe0.0Y0.0Zr0.10092O3,01200,11,1,11,0.087990001,4.1483278,45.380009,44.141998,0.8900043700864743,2.1500105569504715,1.4900073162121872,137.32767430434296,1.824494,1.370184,0.7775843333333333,62.19198304059999,0.8262159431066092,0.4878088774676564,1.5691400256830261,1.9162002786564036,2.208125028183988,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.84106Co0.85324Fe0.0Y0.0Zr0.14676O3,01200,12,2,1,0.20249,10.061366,5.4000001,31.643998999999997,0.8900038292183634,2.1500092503589676,1.4900064107138893,137.32759084839347,1.7992819999999998,1.3793520000000001,0.7817863333333335,63.6721935418,0.8410563813611909,0.4946438797355631,1.5587096334793202,1.905899792800022,2.1567906366888336,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.83926Co0.8502Fe0.0Y0.0Zr0.1498O3,01200,13,2,2,0.20888001,14.845597,9.397999800000001,31.643998999999997,0.8900042453824285,2.150010255699125,1.4900071074379981,137.3276550625087,1.7976099999999997,1.3799599999999999,0.782065,63.77035758899999,0.8392559966711672,0.49510419133317496,1.5580236062633157,1.9052215703784188,2.1534716168221224,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.84096Co0.85478Fe0.0Y0.0Zr0.14522O3,01200,14,2,3,0.21095,9.939517,13.395999999999999,31.643998999999997,0.8900004847220395,2.1500011709577356,1.4900008115009424,137.3270747926107,1.8001289999999999,1.379044,0.7816451666666667,63.6224657021,0.840959541986939,0.49440928106932314,1.559051901866609,1.9062368387116946,2.1584682906761015,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.82725Co0.85249Fe0.0Y0.0Zr0.14751O3,01200,15,2,4,0.20870999999999998,,17.39398,31.643998999999997,0.890004176053657,2.1500100882195086,1.4900069913707292,137.32764436507927,1.7988695,1.379502,0.7818550833333333,63.69641164555,0.8272461183998,0.4947574996705748,1.5585407547212753,1.905732946082906,2.15597144042059,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.8366Co0.86569Fe0.0Y0.0Zr0.13431O3,01200,16,2,5,0.20142999,,21.393998999999997,31.643998999999997,0.8899963710607384,2.1499912334613343,1.4899939245848317,137.32644005467193,1.8061295,1.376862,0.7806450833333334,63.27017301955,0.836603411216815,0.4927644286086565,1.5615154121918784,1.9086700939978998,2.170476758649595,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.83001Co0.86611Fe0.0Y0.0Zr0.13389O3,01200,17,2,6,0.19141001,,25.389999,31.643998999999997,0.890001133341235,2.1500027378468034,1.4900018973915057,137.32717487455255,1.8063605,1.3767780000000003,0.7806065833333335,63.25661088145,0.8300089430524039,0.49270404957439834,1.561619039414345,1.908774444392877,2.170953722638083,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.83571Co0.87466Fe0.0Y0.0Zr0.12534O3,01200,18,2,7,0.17801,,29.388,31.643998999999997,0.8900033644618286,2.1500081276325074,1.4900056326383422,137.32751913646015,1.8110629999999999,1.3750680000000002,0.7798228333333335,62.9805244987,0.8357068407822856,0.491425955067178,1.5635649492479695,1.9106976212396216,2.1804759523603963,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.83627Co0.87309Fe0.0Y0.0Zr0.12691O3,01200,19,2,8,0.16279000000000002,,33.388000000000005,31.643998999999997,0.8899950164548971,2.1499879610989088,1.4899916567615692,137.3262310389906,1.8101995,1.375382,0.77996675,63.03122106255,0.8362746827107862,0.4916557630553412,1.5631933245446783,1.910327147614394,2.1787017405662,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.82064Co0.87385Fe0.0Y0.0Zr0.12615O3,01200,20,2,9,0.14662999999999998,,37.386002000000005,31.643998999999997,0.8899978718651543,2.149994859000092,1.4899964371675056,137.32667162879332,1.8106175,1.3752300000000002,0.7798970833333334,63.00668005075,0.8206419622884896,0.4915438362134213,1.5633711153771308,1.9105039229011591,2.1795573345267645,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19.3,700,N,300.0,10,1.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
