Point	Row	Column	x_mm
1	1	1	203.53
2	1	2	207.528
3	1	3	211.52599
4	1	4	215.524
5	1	5	219.52199
6	1	6	223.51997
7	1	7	227.51799
8	1	8	231.51598
9	1	9	235.51399
10	1	10	239.51399
11	1	11	243.50999
12	2	1	203.53
13	2	2	207.528
14	2	3	211.52599
15	2	4	215.524
16	2	5	219.524
17	2	6	223.51997
18	2	7	227.51799
19	2	8	231.51598
20	2	9	235.51399
21	2	10	239.51199
22	2	11	243.50999
23	3	1	203.53
24	3	2	207.52998
25	3	3	211.52599
26	3	4	215.524
27	3	5	219.52199
28	3	6	223.51997
29	3	7	227.51799
30	3	8	231.51598
31	3	9	235.51399
32	3	10	239.51199
33	3	11	243.50999
34	4	1	203.53
35	4	2	207.528
36	4	3	211.52599
37	4	4	215.524
38	4	5	219.52199
39	4	6	223.51997
40	4	7	227.51799
41	4	8	231.51598
42	4	9	235.51599
43	4	10	239.51399
44	4	11	243.50999
