Point	Row	Column	d_um
1	1	1	0.082149997
2	1	2	0.088550001
3	1	3	0.096479997
4	1	4	0.10259
5	1	5	0.10857
6	1	6	0.11154
7	1	7	0.11428
8	1	8	0.11415
9	1	9	0.11238
10	1	10	0.10887
11	1	11	0.10241
12	2	1	0.092299998
13	2	2	0.099969998
14	2	3	0.109
15	2	4	0.11732
16	2	5	0.12429
17	2	6	0.12797999
18	2	7	0.13164
19	2	8	0.12835
20	2	9	0.12638
21	2	10	0.12033
22	2	11	0.11418
23	3	1	0.08766
24	3	2	0.094729997
25	3	3	0.10339
26	3	4	0.10989
27	3	5	0.1151
28	3	6	0.11848
29	3	7	0.11937
30	3	8	0.11913
31	3	9	0.11447
32	3	10	0.11141
33	3	11	0.10321
34	4	1	0.069459997
35	4	2	0.074539997
36	4	3	0.079259999
37	4	4	0.08461
38	4	5	0.088540003
39	4	6	0.089680001
40	4	7	0.089850001
41	4	8	0.08907
42	4	9	0.087559998
43	4	10	0.082869999
44	4	11	0.078170002
