Point	Row	Column	Co_at
1	1	1	33.856731
2	1	2	34.850475
3	1	3	35.173325
4	1	4	36.089005
5	1	5	36.029774
6	1	6	37.34856
7	1	7	37.428669
8	1	8	38.221432
9	1	9	39.095177
10	1	10	38.796112
11	1	11	39.454956
12	2	1	33.734173
13	2	2	34.588963
14	2	3	35.631691
15	2	4	35.49358
16	2	5	35.890804
17	2	6	36.335415
18	2	7	36.690674
19	2	8	37.773529
20	2	9	38.066193
21	2	10	38.816952
22	2	11	38.939152
23	3	1	33.349976
24	3	2	34.64632
25	3	3	34.751854
26	3	4	34.979389
27	3	5	35.471909
28	3	6	35.896954
29	3	7	36.366249
30	3	8	36.818333
31	3	9	37.87999
32	3	10	38.36467
33	3	11	38.037739
34	4	1	33.719891
35	4	2	34.242603
36	4	3	34.909924
37	4	4	34.570518
38	4	5	34.873112
39	4	6	36.465111
40	4	7	35.880939
41	4	8	36.246609
42	4	9	36.094299
43	4	10	37.32552
44	4	11	37.343964
