Point	Row	Column	FWHM_111
1	1	1	0.68270719
2	1	2	0.67740679
3	1	3	
4	1	4	
5	1	5	
6	1	6	0.63083458
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	0.5921908
13	2	2	0.61707157
14	2	3	
15	2	4	
16	2	5	
17	2	6	0.62843823
18	2	7	0.74280781
19	2	8	
20	2	9	0.66416371
21	2	10	0.70564467
22	2	11	
23	3	1	0.56983024
24	3	2	0.76945972
25	3	3	
26	3	4	
27	3	5	0.6589669
28	3	6	0.78105575
29	3	7	
30	3	8	0.68098116
31	3	9	0.63809031
32	3	10	0.61324781
33	3	11	
34	4	1	0.72202468
35	4	2	
36	4	3	
37	4	4	
38	4	5	0.60465813
39	4	6	0.62823683
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
